;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.00039000000000000005;-0.000403;-0.00039000000000000005;-0.00022899999999999998;-0.000442;-0.000407;-0.000365
1;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.000308;-0.0003;-0.00019899999999999999;-0.000442;-0.000407;-0.00042
2;-0.000307;-0.000307;-0.000307;-0.000307;-0.000307;-0.000307;-0.000307;-0.000307;-0.000307;-0.000307;-0.000315;-0.000307;-0.00019899999999999999;-0.000442;-0.000407;-0.000536
3;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00038799999999999994;-0.00040100000000000004;-0.00038799999999999994;-0.00019899999999999999;-0.000442;-0.000577;-0.0006360000000000001
4;-0.000374;-0.000374;-0.000374;-0.000374;-0.000374;-0.000374;-0.000374;-0.000374;-0.000374;-0.000374;-0.000386;-0.000374;-0.00019899999999999999;-0.000442;-0.000577;-0.0009270000000000001
5;-0.000368;-0.000368;-0.000368;-0.000368;-0.000368;-0.000368;-0.000368;-0.000368;-0.000368;-0.000368;-0.00038;-0.000368;-0.00019899999999999999;-0.000442;-0.000407;-0.000902
6;-0.000371;-0.000371;-0.000371;-0.000371;-0.000371;-0.000371;-0.000371;-0.000371;-0.000371;-0.000371;-0.000383;-0.000371;-0.00019899999999999999;-0.000442;-0.000407;-0.00022500000000000002
7;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000355;-0.000345;-0.00019899999999999999;-0.000442;-0.000407;-0.00022500000000000002
8;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.00036700000000000003;-0.000355;-0.00019899999999999999;-0.0005639999999999999;-0.000407;-0.000342
9;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.00037600000000000003;-0.000389;-0.00037600000000000003;-0.00019899999999999999;-0.0005639999999999999;-0.000407;-0.00022500000000000002
10;-0.000342;-0.000342;-0.000342;-0.000342;-0.000342;-0.000342;-0.000342;-0.000342;-0.000342;-0.000342;-0.00035200000000000005;-0.000342;-0.00019899999999999999;-0.000442;-0.000407;-0.00022500000000000002
11;-0.000348;-0.000348;-0.000348;-0.000348;-0.000348;-0.000348;-0.000348;-0.000348;-0.000348;-0.000348;-0.000359;-0.000348;-0.00019899999999999999;-0.000603;-0.000407;-0.00035600000000000003
12;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000335;-0.000326;-0.00019899999999999999;-0.000603;-0.000407;-0.00035600000000000003
13;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000326;-0.000335;-0.000326;-0.00019899999999999999;-0.000442;-0.000407;-0.00022500000000000002
14;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.000355;-0.00036700000000000003;-0.000355;-0.00019899999999999999;-0.000442;-0.000577;-0.00022500000000000002
15;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00035600000000000003;-0.00036700000000000003;-0.00035600000000000003;-0.00019899999999999999;-0.0005639999999999999;-0.000577;-0.00022500000000000002
16;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00034899999999999997;-0.00035999999999999997;-0.00034899999999999997;-0.00019899999999999999;-0.0005639999999999999;-0.000407;-0.00022500000000000002
