,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.052000000000000005,0.0,0.001,0.477,-0.424,3.777
1,0.052000000000000005,0.0,0.001,0.322,-0.269,3.704
2,0.052000000000000005,0.0,0.001,0.329,-0.276,3.654
3,0.052000000000000005,0.0,0.001,0.411,-0.358,3.604
4,0.052000000000000005,0.0,0.001,0.397,-0.344,3.541
5,0.052000000000000005,0.0,0.001,0.391,-0.338,3.48
6,0.052000000000000005,0.0,0.0,0.391,-0.339,3.42
7,0.052000000000000005,0.0,0.001,0.343,-0.29,3.36
8,0.052000000000000005,0.0,0.001,0.334,-0.281,3.307
9,0.284,0.0,0.001,0.348,-0.063,3.256
10,0.284,0.0,0.001,0.313,-0.028,3.203
11,0.052000000000000005,0.0,0.001,0.319,-0.266,3.155
12,0.052000000000000005,0.0,0.001,0.297,-0.244,3.106
13,0.052000000000000005,0.0,0.001,0.297,-0.244,3.06
14,0.052000000000000005,0.0,0.001,0.326,-0.273,3.015
15,0.052000000000000005,0.0,0.001,0.327,-0.274,2.965
16,0.052000000000000005,0.0,0.001,0.321,-0.268,2.914
17,0.284,0.0,0.001,0.342,-0.057,2.865
18,0.284,0.0,0.001,0.367,-0.082,2.813
19,0.052000000000000005,0.0,0.001,0.306,-0.253,2.757
20,0.052000000000000005,0.0,0.0,0.321,-0.269,2.71
21,0.052000000000000005,0.0,0.001,0.353,-0.3,2.661
22,0.052000000000000005,0.0,0.001,0.328,-0.275,2.606
23,0.052000000000000005,0.0,0.001,0.29,-0.237,2.556
24,0.284,0.0,0.001,0.366,-0.081,2.511
25,0.284,0.0,0.001,0.391,-0.106,2.455
26,0.052000000000000005,0.0,0.001,0.309,-0.256,2.395
27,0.052000000000000005,0.0,0.001,0.324,-0.271,2.348
28,0.052000000000000005,0.0,0.001,0.323,-0.27,2.298
29,0.052000000000000005,0.0,0.001,0.305,-0.252,2.249
30,0.052000000000000005,0.0,0.001,0.316,-0.263,2.202
31,0.052000000000000005,0.0,0.001,0.299,-0.246,2.153
32,0.052000000000000005,0.0,0.001,0.291,-0.238,2.107
33,0.052000000000000005,0.0,0.001,0.328,-0.275,2.063
34,0.052000000000000005,0.0,0.0,0.383,-0.331,2.013
35,0.052000000000000005,0.0,0.001,0.312,-0.259,1.954
36,0.052000000000000005,0.0,0.001,0.291,-0.238,1.906
37,0.052000000000000005,0.0,0.001,0.321,-0.268,1.861
38,0.052000000000000005,0.0,0.001,0.312,-0.259,1.812
39,0.052000000000000005,0.1,0.001,0.221,-0.268,1.764
40,0.052000000000000005,0.1,0.001,0.452,-0.499,1.73
41,0.29600000000000004,0.1,0.001,0.492,-0.295,1.661
42,0.33899999999999997,0.1,0.001,0.314,-0.074,1.586
43,0.19899999999999998,0.1,0.001,0.288,-0.188,1.537
44,0.196,0.1,0.001,0.716,-0.619,1.493
45,0.27899999999999997,0.3,0.001,0.344,-0.364,1.384
46,2.0180000000000002,0.3,0.001,0.468,1.251,1.331
47,2.0780000000000003,0.3,0.001,0.54,1.239,1.259
48,2.31,0.3,0.0,0.562,1.448,1.176
49,0.746,0.3,0.001,0.201,0.246,1.09
50,0.364,0.3,0.001,0.328,-0.263,1.059
51,0.47600000000000003,0.6,0.001,0.238,-0.361,1.009
52,0.371,0.6,0.001,0.046,-0.274,0.972
53,0.386,0.6,0.001,-0.141,-0.072,0.965
54,0.386,0.6,0.001,0.248,-0.461,0.987
55,0.462,0.6,0.001,-0.278,0.141,0.949
56,0.40700000000000003,0.6,0.001,-0.255,0.063,0.992
57,0.627,1.0,0.001,0.025,-0.397,1.031
58,0.527,1.0,0.552,-0.31,0.389,1.027
59,0.515,1.0,0.616,-0.276,0.407,1.074
60,0.28300000000000003,1.0,0.615,-0.478,0.376,1.117
61,0.192,1.0,0.615,-0.378,0.185,1.19
62,0.127,1.0,0.614,-0.202,-0.057,1.248
63,0.127,1.6,0.614,-0.594,-0.265,1.279
64,0.052000000000000005,1.6,0.613,-1.237,0.302,1.37
65,0.284,1.6,0.613,-1.182,0.479,1.56
66,0.284,1.6,0.613,-1.121,0.418,1.741
67,0.052000000000000005,1.6,0.613,-0.926,-0.009,1.913
68,0.052000000000000005,1.6,0.612,-0.703,-0.233,2.055
69,0.052000000000000005,2.0,0.613,-1.129,-0.206,2.163
70,0.052000000000000005,2.0,0.465,-1.105,-0.378,2.336
71,0.052000000000000005,2.0,0.001,-1.161,-0.786,2.505
72,0.052000000000000005,2.0,0.001,-1.037,-0.91,2.683
73,0.052000000000000005,2.0,0.001,-1.029,-0.918,2.842
74,0.052000000000000005,2.0,0.001,-0.943,-1.004,3.0
75,0.284,2.2,0.001,-1.371,-0.544,3.145
76,0.284,2.2,0.001,-1.809,-0.106,3.355
77,0.052000000000000005,2.2,0.001,-1.857,-0.29,3.632
