,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.0,-0.181,0.229,3.878
1,0.048,0.006,-0.175,0.229,3.905
2,0.048,0.006,-0.175,0.229,3.932
3,0.048,0.006,-0.175,0.229,3.959
4,0.048,0.006,-0.175,0.229,3.986
5,0.133,0.0,-0.096,0.229,4.013
6,0.048,0.006,-0.175,0.229,4.027
7,0.048,0.006,-0.175,0.229,4.054
8,0.249,0.006,0.026,0.229,4.081
9,0.249,0.006,0.026,0.229,4.077
10,0.048,0.0,-0.181,0.229,4.073
11,0.048,0.006,-0.175,0.229,4.101
12,0.048,0.006,-0.175,0.229,4.128
13,0.048,0.006,-0.175,0.229,4.154
14,0.249,0.006,0.026,0.229,4.181
15,0.249,0.006,0.026,0.229,4.177
16,0.048,0.0,-0.181,0.229,4.173
17,0.048,0.006,-0.175,0.229,4.201
18,0.048,0.006,-0.175,0.229,4.228
19,0.048,0.006,-0.175,0.229,4.254
20,0.048,0.006,-0.175,0.229,4.281
21,0.048,0.0,-0.181,0.229,4.308
22,0.048,0.006,-0.175,0.229,4.336
23,0.048,0.006,-0.175,0.229,4.363
24,0.249,0.006,0.026,0.229,4.389
25,0.249,0.006,0.026,0.229,4.385
26,0.048,0.0,-0.181,0.229,4.381
27,0.048,0.006,-0.175,0.229,4.409
28,0.048,0.006,-0.175,0.229,4.436
29,0.048,0.006,-0.175,0.229,4.463
30,0.048,0.006,-0.175,0.229,4.49
31,0.249,0.006,0.026,0.229,4.516
32,0.249,0.0,0.02,0.229,4.512
33,0.048,0.006,-0.175,0.229,4.509
34,0.048,0.006,-0.175,0.229,4.536
35,0.048,0.006,-0.175,0.229,4.563
36,0.048,0.006,-0.175,0.229,4.59
37,0.048,0.0,-0.181,0.229,4.616
38,0.048,0.006,-0.175,0.229,4.644
39,0.048,0.006,-0.175,0.229,4.671
40,0.249,0.006,0.026,0.229,4.698
41,0.249,0.006,0.026,0.229,4.694
42,0.048,0.0,-0.181,0.229,4.69
43,0.048,0.006,-0.175,0.229,4.718
44,0.048,0.006,-0.175,0.229,4.744
45,0.048,0.006,-0.175,0.229,4.771
46,0.048,0.006,-0.175,0.229,4.798
47,0.249,0.0,0.02,0.229,4.825
48,0.294,0.006,0.071,0.229,4.822
49,0.168,0.006,-0.055,0.229,4.811
50,0.28800000000000003,0.006,0.065,0.229,4.819
51,0.228,0.006,0.005,0.229,4.809
52,0.268,0.006,0.045,0.229,4.808
53,0.228,0.0,-0.001,0.229,4.801
54,0.419,0.006,0.196,0.229,4.802
55,0.359,0.006,0.136,0.229,4.771
56,0.048,0.006,-0.175,0.229,4.751
57,0.048,0.006,-0.175,0.229,4.777
58,0.175,0.0,-0.054,0.229,4.804
59,0.235,0.006,0.012,0.229,4.812
60,0.048,0.006,-0.175,0.229,4.811
61,0.048,0.006,-0.175,0.229,4.837
62,0.048,0.006,-0.175,0.229,4.864
63,0.048,0.0,-0.181,0.229,4.891
64,0.048,0.006,-0.175,0.229,4.919
65,0.048,0.006,-0.175,0.229,4.946
66,0.048,0.006,-0.175,0.229,4.972
67,0.048,0.006,-0.175,0.229,4.999
68,0.048,0.0,-0.181,0.229,5.026
69,0.249,0.006,0.026,0.229,5.054
70,0.249,0.006,0.026,0.229,5.05
71,0.048,0.006,-0.175,0.229,5.046
72,0.048,0.006,-0.175,0.229,5.072
73,0.048,0.0,-0.181,0.229,5.099
74,0.048,0.006,-0.175,0.229,5.127
75,0.048,0.006,-0.175,0.229,5.154
76,0.249,0.006,0.026,0.229,5.181
77,0.249,0.006,0.026,0.229,5.177
78,0.048,0.006,-0.175,0.229,5.173
79,0.048,0.0,-0.181,0.229,5.199
80,0.048,0.006,-0.175,0.229,5.227
81,0.048,0.006,-0.175,0.229,5.254
82,0.249,0.006,0.026,0.229,5.281
83,0.249,0.006,0.026,0.229,5.277
84,0.249,0.0,0.02,0.229,5.273
85,0.048,0.006,-0.175,0.229,5.27
86,0.048,0.006,-0.175,0.229,5.296
87,0.048,0.006,-0.175,0.229,5.323
88,0.048,0.006,-0.175,0.229,5.35
89,0.048,0.0,-0.181,0.229,5.377
90,0.048,0.006,-0.175,0.229,5.405
91,0.048,0.006,-0.175,0.229,5.431
92,0.249,0.006,0.026,0.229,5.458
93,0.249,0.006,0.026,0.229,5.454
94,0.048,0.006,-0.175,0.229,5.45
95,0.048,0.0,-0.181,0.229,5.477
96,0.048,0.006,-0.175,0.229,5.505
97,0.057999999999999996,0.006,-0.165,0.229,5.532
98,0.057999999999999996,0.006,-0.165,0.229,5.557
99,0.318,0.006,0.095,0.229,5.582
100,0.534,0.0,0.305,0.229,5.567
101,0.434,0.006,0.211,0.229,5.521
102,0.282,0.006,0.059,0.229,5.488
103,0.233,0.006,0.01,0.229,5.479
104,0.268,0.006,0.045,0.229,5.478
105,0.275,0.0,0.046,0.229,5.471
106,0.255,0.006,0.032,0.229,5.464
107,0.31,0.006,0.087,0.229,5.459
108,0.604,0.006,0.381,0.229,5.445
109,0.235,0.006,0.012,0.229,5.387
110,0.215,0.0,-0.014,0.229,5.385
111,0.14,0.006,-0.083,0.229,5.387
112,0.28,0.006,0.057,0.229,5.4
113,0.521,0.006,0.298,0.229,5.391
114,0.5489999999999999,0.006,0.326,0.229,5.345
115,0.308,0.006,0.085,0.229,5.295
116,0.308,0.0,0.079,0.229,5.282
117,0.248,0.006,0.025,0.229,5.27
118,0.248,0.006,0.025,0.229,5.266
119,0.138,0.006,-0.085,0.229,5.262
120,0.17800000000000002,0.006,-0.045,0.229,5.275
121,0.539,0.0,0.31,0.229,5.282
122,0.514,0.006,0.291,0.229,5.235
123,0.313,0.006,0.09,0.229,5.19
124,0.313,0.006,0.09,0.229,5.176
125,0.44,0.006,0.217,0.229,5.163
126,0.43,0.0,0.201,0.229,5.129
127,0.7909999999999999,0.006,0.568,0.229,5.098
128,2.735,0.006,2.512,0.229,5.011
129,0.736,0.006,0.513,0.229,4.626
130,0.575,0.006,0.352,0.229,4.547
131,0.595,0.0,0.366,0.229,4.493
132,0.71,0.006,0.487,0.229,4.437
133,0.605,0.006,0.382,0.229,4.363
134,0.54,0.006,0.317,0.229,4.304
135,0.6809999999999999,0.006,0.458,0.229,4.255
136,0.6609999999999999,0.0,0.432,0.229,4.185
137,0.46,0.006,0.237,0.229,4.119
