,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.055,0.006,1.029,-0.968,3.692
1,0.055,0.006,-0.329,0.39,3.534
2,0.055,0.006,-0.329,0.39,3.585
3,0.055,0.006,-0.329,0.39,3.635
4,0.055,0.006,-0.329,0.39,3.686
5,0.14400000000000002,0.006,-0.24,0.39,3.736
6,0.14400000000000002,0.006,-0.24,0.39,3.773
7,0.055,0.006,-0.329,0.39,3.81
8,0.055,0.006,-0.329,0.39,3.86
9,0.055,0.006,-0.329,0.39,3.91
10,0.196,0.006,-0.188,0.39,3.961
11,0.196,0.006,-0.188,0.39,3.99
12,0.055,0.0,-0.335,0.39,4.018
13,0.055,0.006,-0.329,0.39,4.07
14,0.055,0.006,-0.329,0.39,4.12
15,0.055,0.006,-0.329,0.39,4.171
16,0.055,0.006,-0.329,0.39,4.221
17,0.055,0.006,-0.329,0.39,4.271
18,0.055,0.006,-0.329,0.39,4.322
19,0.14400000000000002,0.006,-0.24,0.39,4.372
20,0.055,0.006,-0.329,0.39,4.409
21,0.196,0.006,-0.188,0.39,4.459
22,0.196,0.006,-0.188,0.39,4.488
23,0.055,0.006,-0.329,0.39,4.517
24,0.055,0.006,-0.329,0.39,4.567
25,0.14400000000000002,0.0,-0.246,0.39,4.618
26,0.14400000000000002,0.006,-0.24,0.39,4.656
27,0.055,0.006,-0.329,0.39,4.692
28,0.196,0.006,-0.188,0.39,4.743
29,0.196,0.006,-0.188,0.39,4.772
30,0.055,0.006,-0.329,0.39,4.8
31,0.055,0.006,-0.329,0.39,4.851
32,0.055,0.006,-0.329,0.39,4.901
33,0.055,0.006,-0.329,0.39,4.952
34,0.055,0.006,-0.329,0.39,5.002
35,0.055,0.006,-0.329,0.39,5.052
36,0.285,0.006,-0.099,0.39,5.103
37,0.285,0.006,-0.099,0.39,5.118
38,0.055,0.006,-0.329,0.39,5.133
39,0.055,0.0,-0.335,0.39,5.184
40,0.055,0.006,-0.329,0.39,5.235
41,0.055,0.006,-0.329,0.39,5.285
42,0.055,0.006,-0.329,0.39,5.336
43,0.14400000000000002,0.006,-0.24,0.39,5.386
44,0.14400000000000002,0.0,-0.246,0.39,5.423
45,0.196,0.006,-0.188,0.39,5.461
46,0.196,0.006,-0.188,0.39,5.489
47,0.055,0.006,-0.329,0.39,5.518
48,0.055,0.006,-0.329,0.39,5.569
49,0.14400000000000002,0.0,-0.246,0.39,5.619
50,0.055,0.006,-0.329,0.39,5.657
51,0.055,0.006,-0.329,0.39,5.707
52,0.067,0.006,-0.317,0.39,5.758
53,0.067,0.006,-0.317,0.39,5.806
54,0.067,0.006,-0.317,0.39,5.855
55,0.20800000000000002,0.0,-0.182,0.39,5.903
56,0.20800000000000002,0.006,-0.176,0.39,5.931
57,0.156,0.006,-0.228,0.39,5.958
58,0.055,0.006,-0.329,0.39,5.993
59,0.055,0.006,-0.329,0.39,6.043
60,0.355,0.0,-0.035,0.39,6.094
61,0.067,0.006,-0.317,0.39,6.099
62,0.067,0.006,-0.317,0.39,6.148
63,0.268,0.006,-0.116,0.39,6.196
64,0.35700000000000004,0.006,-0.027,0.39,6.214
65,0.21600000000000003,0.0,-0.174,0.39,6.218
66,0.055,0.006,-0.329,0.39,6.245
67,0.055,0.006,-0.329,0.39,6.295
68,0.067,0.006,-0.317,0.39,6.346
69,0.196,0.006,-0.188,0.39,6.394
70,0.196,0.0,-0.194,0.39,6.423
71,0.055,0.006,-0.329,0.39,6.453
72,0.055,0.006,-0.329,0.39,6.503
73,0.055,0.006,-0.329,0.39,6.554
74,0.055,0.006,-0.329,0.39,6.604
75,0.055,0.006,-0.329,0.39,6.655
76,0.196,0.0,-0.194,0.39,6.705
77,0.196,0.006,-0.188,0.39,6.735
78,0.055,0.006,-0.329,0.39,6.763
79,0.14400000000000002,0.006,-0.24,0.39,6.814
80,0.14400000000000002,0.006,-0.24,0.39,6.851
81,0.055,0.0,-0.335,0.39,6.887
82,0.055,0.006,-0.329,0.39,6.939
83,0.055,0.006,-0.329,0.39,6.989
84,0.196,0.006,-0.188,0.39,7.04
85,0.285,0.006,-0.099,0.39,7.068
86,0.14400000000000002,0.0,-0.246,0.39,7.084
87,0.055,0.006,-0.329,0.39,7.121
88,0.055,0.006,-0.329,0.39,7.172
89,0.055,0.006,-0.329,0.39,7.222
90,0.055,0.006,-0.329,0.39,7.272
91,0.196,0.006,-0.188,0.39,7.323
92,0.196,0.0,-0.194,0.39,7.352
93,0.14400000000000002,0.006,-0.24,0.39,7.381
94,0.14400000000000002,0.006,-0.24,0.39,7.418
95,0.055,0.006,-0.329,0.39,7.455
96,0.055,0.006,-0.329,0.39,7.505
97,0.055,0.0,-0.335,0.39,7.556
98,0.055,0.006,-0.329,0.39,7.607
99,0.107,0.006,-0.277,0.39,7.658
100,0.401,0.006,-0.0,0.407,7.7
101,0.465,0.006,0.031,0.44,7.7
102,0.436,0.0,-0.004,0.44,7.695
103,0.426,0.006,-0.008,0.44,7.696
104,0.414,0.006,-0.02,0.44,7.697
105,0.595,0.006,-0.0,0.601,7.7
106,0.685,0.006,-0.0,0.691,7.7
107,0.7390000000000001,0.0,-0.0,0.739,7.7
108,0.768,0.006,-0.0,0.774,7.7
109,0.868,2.214,1.334,1.748,7.7
110,0.757,3.702,2.711,1.748,7.495
111,0.742,3.702,2.696,1.748,7.08
112,0.735,3.69,2.677,1.748,6.666
113,0.7559999999999999,3.6959999999999997,2.704,1.748,6.256
114,0.655,3.69,2.597,1.748,5.841
115,0.484,3.684,2.42,1.748,5.443
116,0.284,3.69,2.226,1.748,5.072
117,0.45399999999999996,3.684,2.39,1.748,4.731
118,0.713,3.69,2.655,1.748,4.364
119,0.513,3.69,2.455,1.748,3.957
120,0.415,3.3600000000000003,2.027,1.748,3.581
121,0.633,0.636,-0.479,1.748,3.27
122,0.884,0.006,-0.858,1.748,3.343
123,0.6659999999999999,0.006,-1.076,1.748,3.475
124,0.626,0.006,-1.116,1.748,3.64
125,2.53,0.006,0.788,1.748,3.811
126,0.613,0.006,-1.129,1.748,3.69
127,0.653,2.7239999999999998,1.629,1.748,3.863
128,0.772,3.6959999999999997,2.72,1.748,3.613
129,0.7979999999999999,3.69,2.74,1.748,3.196
130,0.757,3.69,2.699,1.748,2.776
131,0.055,3.69,1.997,1.748,2.362
132,0.055,2.742,1.049,1.748,2.056
