,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.0,-0.336,0.384,3.901
1,0.048,0.006,-0.309,0.363,3.953
2,0.048,0.006,-0.3,0.354,4.0
3,0.048,0.006,-0.234,0.288,4.046
4,0.048,0.006,-0.227,0.281,4.082
5,0.133,0.0,-0.245,0.378,4.117
6,0.048,0.006,-0.292,0.346,4.155
7,0.048,0.006,-0.39,0.444,4.199
8,0.249,0.006,-0.416,0.671,4.259
9,0.249,0.006,-0.436,0.691,4.323
10,0.048,0.0,-0.495,0.543,4.39
11,0.048,0.006,-0.476,0.53,4.466
12,0.048,0.006,-0.482,0.536,4.539
13,0.048,0.006,-0.498,0.552,4.613
14,0.249,0.006,-0.468,0.723,4.689
15,0.249,0.006,-0.452,0.707,4.761
16,0.048,0.0,-0.465,0.513,4.83
17,0.048,0.006,-0.466,0.52,4.901
18,0.048,0.006,-0.435,0.489,4.973
19,0.048,0.006,-0.461,0.515,5.04
20,0.048,0.006,-0.466,0.52,5.11
21,0.048,0.0,-0.471,0.519,5.182
22,0.048,0.006,-0.468,0.522,5.254
23,0.048,0.006,-0.493,0.547,5.326
24,0.249,0.006,-0.445,0.7,5.401
25,0.249,0.006,-0.409,0.664,5.47
26,0.048,0.0,-0.463,0.511,5.532
27,0.048,0.006,-0.466,0.52,5.603
28,0.048,0.006,-0.475,0.529,5.675
29,0.048,0.006,-0.484,0.538,5.747
30,0.048,0.006,-0.485,0.539,5.822
31,0.249,0.006,-0.485,0.74,5.896
32,0.249,0.0,-0.484,0.733,5.97
33,0.048,0.006,-0.467,0.521,6.045
34,0.048,0.006,-0.428,0.482,6.116
35,0.048,0.006,-0.445,0.499,6.182
36,0.048,0.006,-0.455,0.509,6.25
37,0.048,0.0,-0.491,0.539,6.32
38,0.048,0.006,-0.496,0.55,6.395
39,0.048,0.006,-0.417,0.471,6.471
40,0.249,0.006,-0.255,0.51,6.535
41,0.249,0.006,-0.233,0.488,6.574
42,0.048,0.0,-0.329,0.377,6.61
43,0.048,0.006,-0.295,0.349,6.66
44,0.048,0.006,-0.004,0.058,6.706
45,0.048,0.006,-0.101,0.155,6.706
46,0.048,0.006,-0.105,0.159,6.722
47,0.249,0.0,-0.042,0.291,6.738
48,0.294,0.006,0.174,0.126,6.744
49,0.168,0.006,-0.046,0.22,6.718
50,0.28800000000000003,0.006,-0.064,0.358,6.725
51,0.228,0.006,0.005,0.229,6.735
