,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.036000000000000004,0.0,0.001,0.555,-0.518,3.765
1,0.036000000000000004,0.0,0.001,0.314,-0.277,3.68
2,0.036000000000000004,0.0,0.001,0.314,-0.277,3.632
3,0.036000000000000004,0.0,0.0,0.38,-0.344,3.583
4,0.036000000000000004,0.0,0.001,0.36,-0.323,3.525
5,0.192,0.0,0.001,0.342,-0.149,3.47
6,0.192,0.0,0.001,0.373,-0.18,3.418
7,0.152,0.0,0.001,0.331,-0.178,3.36
8,0.152,0.0,0.001,0.309,-0.156,3.31
9,0.036000000000000004,0.0,0.001,0.33,-0.293,3.262
10,0.036000000000000004,0.0,0.001,0.294,-0.257,3.212
11,0.036000000000000004,0.0,0.001,0.299,-0.262,3.167
12,0.036000000000000004,0.0,0.001,0.251,-0.214,3.121
13,0.036000000000000004,0.0,0.001,0.251,-0.214,3.082
14,0.036000000000000004,0.0,0.001,0.268,-0.231,3.044
15,0.348,0.0,0.001,0.313,0.036,3.003
16,0.348,0.0,0.0,0.316,0.032,2.955
17,0.192,0.0,0.001,0.329,-0.136,2.906
18,0.126,0.0,0.001,0.361,-0.234,2.856
19,0.321,0.0,0.001,0.296,0.026,2.801
20,0.311,0.0,0.001,0.317,-0.005,2.755
21,0.261,0.0,0.001,0.331,-0.069,2.707
22,0.24100000000000002,0.0,0.001,0.28,-0.038,2.656
23,0.23600000000000002,0.0,0.001,0.277,-0.04,2.613
24,0.192,0.0,0.001,0.348,-0.155,2.57
25,0.308,0.0,0.001,0.381,-0.072,2.517
26,0.152,0.0,0.001,0.301,-0.148,2.459
27,0.036000000000000004,0.0,0.001,0.305,-0.268,2.413
28,0.036000000000000004,0.0,0.001,0.304,-0.267,2.366
29,0.036000000000000004,0.0,0.001,0.278,-0.241,2.319
30,0.036000000000000004,0.0,0.0,0.291,-0.255,2.277
31,0.152,0.0,0.001,0.259,-0.106,2.232
32,0.152,0.0,0.001,0.24,-0.087,2.192
33,0.036000000000000004,0.0,0.001,0.297,-0.26,2.155
34,0.036000000000000004,0.0,0.001,0.381,-0.344,2.11
35,0.036000000000000004,0.0,0.001,0.289,-0.252,2.051
36,0.036000000000000004,0.0,0.001,0.277,-0.24,2.007
37,0.152,0.0,0.001,0.27,-0.117,1.965
38,0.036000000000000004,0.0,0.001,0.263,-0.226,1.923
39,0.192,0.1,0.001,0.19,-0.097,1.883
40,0.272,0.1,0.001,0.488,-0.315,1.854
41,0.11599999999999999,0.1,0.0,0.555,-0.539,1.779
42,0.637,0.1,0.001,0.34,0.198,1.694
43,0.573,0.1,0.001,0.299,0.175,1.642
44,2.449,0.1,0.001,0.824,1.526,1.596
45,2.359,0.3,0.001,0.38,1.68,1.47
46,2.475,0.3,0.0,0.574,1.601,1.411
47,0.573,0.3,0.001,0.675,-0.401,1.323
48,0.392,0.3,0.001,0.676,-0.583,1.22
49,0.43200000000000005,0.3,0.001,0.238,-0.105,1.116
50,0.47200000000000003,0.3,0.001,0.402,-0.229,1.08
51,0.654,0.6,0.0,0.356,-0.302,1.018
52,0.85,0.6,0.001,0.097,0.154,0.964
53,1.1420000000000001,0.6,0.001,-0.132,0.675,0.949
54,0.73,0.6,0.001,-0.184,0.315,0.969
55,0.574,0.6,0.001,-0.205,0.18,0.997
56,0.574,0.6,0.001,0.362,-0.387,1.029
57,0.434,1.0,0.0,-0.073,-0.493,0.973
58,0.55,1.0,0.001,-0.257,-0.192,0.984
59,0.706,1.0,0.001,-0.203,-0.09,1.024
60,0.59,1.0,0.001,-0.457,0.048,1.055
61,0.59,1.0,0.001,-0.325,-0.084,1.125
62,0.434,1.0,0.0,-0.317,-0.249,1.175
63,2.648,1.6,0.001,-0.617,1.666,1.223
64,0.374,1.6,0.001,-1.272,0.047,1.318
65,0.49,1.6,0.001,-1.209,0.1,1.513
66,0.49,1.6,0.001,-1.145,0.036,1.698
67,0.374,1.6,0.0,-1.135,-0.091,1.874
68,0.53,1.6,0.001,-0.864,-0.205,2.048
69,0.53,2.0,0.001,-1.29,-0.179,2.18
70,0.036000000000000004,2.0,0.001,-1.348,-0.615,2.378
71,0.036000000000000004,2.0,0.001,-1.404,-0.559,2.585
72,0.036000000000000004,2.0,0.001,-1.211,-0.752,2.8
73,0.036000000000000004,2.0,0.0,-0.833,-1.131,2.986
74,0.192,2.0,0.001,-0.732,-1.075,3.113
75,0.192,2.2,0.001,-1.253,-0.754,3.226
76,0.192,2.2,0.001,-1.839,-0.168,3.418
77,0.036000000000000004,2.2,0.001,-1.908,-0.255,3.7
