;0
0;1.0500463633905106
1;1.0500314453302635
2;1.0500317525365361
3;1.0500324907118221
4;1.0500312017990838
5;1.0500301266411542
6;1.05002551154078
7;1.0500281249435122
8;1.0500292025115603
9;1.0500245716640548
10;1.0500251914575458
11;1.0500314993362292
12;1.050031923486917
13;1.0500297259421076
14;1.0500314505052788
15;1.0500302861482744
16;1.0500283778963135
17;1.0500290989114809
18;1.0500305163432488
19;1.050031416466712
20;1.0500286495121194
21;1.0500285401126168
22;1.0500285489252186
23;1.05002952057538
24;1.0500307493909178
25;1.05003000138366
26;1.050028499555638
27;1.0500296175168533
28;1.0500274536677705
29;1.05002729089001
30;1.0500286446913847
31;1.0500270633911906
32;1.0500322149539631
33;1.0500319602099832
34;1.0500302241098205
35;1.0500288520136025
36;1.050017986409404
37;1.050026054468098
38;1.0500248697787338
39;1.0500219983750072
40;1.0500251055373266
41;1.0499889710169632
42;1.0500079790435504
43;1.049967532324455
44;1.0500088738271187
45;1.0500167158246416
46;1.0500054895019277
47;1.0500049998552483
48;1.04999604618508
49;1.0500026024635822
50;1.0499991245500833
51;1.0499655749440113
52;1.0499941967139346
53;1.0499742608468847
54;1.049981778241185
55;1.0499654349693304
56;1.0499650945077144
57;1.049984008088582
58;1.049983227586675
59;1.0499882362719208
60;1.0499921120015325
61;1.0499995853492943
62;1.0499510317089111
63;1.0500205940143543
64;1.0499869993854152
65;1.0500103249296784
66;1.0500253642914679
67;1.0500218435775623
68;1.0500048323234032
69;1.0500064601048562
70;1.0500137533629221
71;1.0499980452068434
72;1.0499982531584342
73;1.0499996824546662
74;1.0500171336177178
75;1.0500278632297904
76;1.0500263099329328
77;1.0500247177609283
78;1.0500140323712357
79;1.0500154006402267
80;1.0500122863418715
81;1.050012342800916
82;1.0500144679048666
83;1.0500270608708018
84;1.0500243884263343
85;1.0500075462892404
86;1.0499551113858379
87;1.0499974803170686
88;1.0500018574588434
89;1.0500109127069073
90;1.0500049167269963
91;1.0500030620427965
92;1.0499871885374021
93;1.0500089874327596
94;1.0500119965297872
95;1.049999186602317
96;1.0499919098322275
97;1.0500031140720982
98;1.0499897664195028
99;1.0500042850831528
100;1.049986790600384
101;1.0499729237535833
102;1.049979445955504
103;1.0499756434225174
104;1.049990725859608
105;1.0499883851904377
106;1.0499909326699557
107;1.0499846848141783
108;1.0499651708740614
109;1.0499352111661286
110;1.0499534736058636
111;1.0499419516032524
112;1.0499521363353315
113;1.0499831678770928
114;1.049984549295153
115;1.0499763027551248
116;1.0499603311831414
117;1.0499462696877082
118;1.04994447556812
119;1.0499602010504023
120;1.0499794150969264
121;1.0499684643419096
122;1.0499713896497147
123;1.0499850340993075
124;1.0499716261523573
125;1.049960812218588
126;1.0499881731393836
127;1.0499878407888277
128;1.049988577243454
129;1.0499783130760771
130;1.0499680517032768
131;1.0499760502183726
132;1.0499757970279917
133;1.049966496965689
134;1.0499961151711392
135;1.0499824666957531
136;1.049965485009929
137;1.0499699071358954
138;1.0499971708407239
139;1.0499967011725113
140;1.050003385642239
141;1.0500099058805399
142;1.0500164058950956
143;1.0499833363267022
