;0;1;2;3;4
0;-0.0007509999999999999;-0.000753;-0.0007509999999999999;-0.00027899999999999995;-0.000473
1;-0.00035;-0.000351;-0.00035;-0.00045799999999999997;-0.00038
2;-0.00035;-0.000351;-0.00035;-0.00045799999999999997;-0.00038
3;-0.00035;-0.000351;-0.00035;-0.000462;-0.00058
4;-0.00035;-0.000351;-0.00035;-0.00027899999999999995;-0.00058
5;-0.00045299999999999995;-0.000454;-0.00045299999999999995;-0.00039700000000000005;-0.00038
6;-0.00045299999999999995;-0.000454;-0.00045299999999999995;-0.00039700000000000005;-0.00038
7;-0.000389;-0.000389;-0.000389;-0.00027899999999999995;-0.00038
8;-0.000389;-0.000389;-0.000389;-0.00045799999999999997;-0.00038
9;-0.00046600000000000005;-0.000467;-0.00046600000000000005;-0.00045799999999999997;-0.00038
10;-0.00041700000000000005;-0.00041700000000000005;-0.00041700000000000005;-0.00045799999999999997;-0.00038
11;-0.000382;-0.000383;-0.000382;-0.000462;-0.00058
12;-0.000382;-0.000383;-0.000382;-0.00039700000000000005;-0.00038
13;-0.00035;-0.000351;-0.00035;-0.00027899999999999995;-0.00038
14;-0.00035;-0.000351;-0.00035;-0.00027899999999999995;-0.00038
15;-0.000505;-0.000506;-0.000505;-0.00027899999999999995;-0.00038
16;-0.000505;-0.000506;-0.000505;-0.00027899999999999995;-0.00038
17;-0.000518;-0.000519;-0.000518;-0.00027899999999999995;-0.00038
18;-0.000496;-0.000497;-0.000496;-0.000462;-0.00038
19;-0.00044500000000000003;-0.000446;-0.00044500000000000003;-0.00027899999999999995;-0.00038
20;-0.000441;-0.000443;-0.000441;-0.00039700000000000005;-0.00058
21;-0.000425;-0.000426;-0.000425;-0.0005760000000000001;-0.00058
22;-0.00045000000000000004;-0.00045200000000000004;-0.00045000000000000004;-0.00045799999999999997;-0.00038
23;-0.0005;-0.000501;-0.0005;-0.00027899999999999995;-0.00038
24;-0.0005200000000000001;-0.000521;-0.0005200000000000001;-0.00027899999999999995;-0.00038
25;-0.0005570000000000001;-0.0005579999999999999;-0.0005570000000000001;-0.000462;-0.00038
26;-0.000455;-0.000456;-0.000455;-0.00027899999999999995;-0.00038
27;-0.00035;-0.000351;-0.00035;-0.00039700000000000005;-0.00058
28;-0.00035;-0.000351;-0.00035;-0.00039700000000000005;-0.00058
29;-0.00040100000000000004;-0.000402;-0.00040100000000000004;-0.00027899999999999995;-0.00038
30;-0.000433;-0.000435;-0.000433;-0.00045799999999999997;-0.00038
31;-0.00038799999999999994;-0.00039000000000000005;-0.00038799999999999994;-0.00045799999999999997;-0.00038
32;-0.00038799999999999994;-0.00039000000000000005;-0.00038799999999999994;-0.00027899999999999995;-0.00038
33;-0.00046600000000000005;-0.000468;-0.00046600000000000005;-0.00039700000000000005;-0.00038
34;-0.00046600000000000005;-0.000468;-0.00046600000000000005;-0.00058;-0.00038
35;-0.00035;-0.000351;-0.00035;-0.00027899999999999995;-0.00038
36;-0.000382;-0.000383;-0.000382;-0.00027899999999999995;-0.00058
37;-0.00042100000000000004;-0.00042200000000000007;-0.00042100000000000004;-0.00045799999999999997;-0.00038
38;-0.00040100000000000004;-0.000403;-0.00040100000000000004;-0.00045799999999999997;-0.00038
