,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.0,0.0,0.74,-0.692,3.737
1,0.048,0.0,0.001,0.473,-0.424,3.623
2,0.048,0.0,0.001,0.473,-0.424,3.551
3,0.048,0.0,0.001,0.473,-0.424,3.478
4,0.048,0.0,0.001,0.473,-0.424,3.406
5,0.048,0.0,0.001,0.473,-0.424,3.333
6,0.048,0.0,0.001,0.473,-0.424,3.261
7,0.048,0.0,0.001,0.473,-0.424,3.188
8,0.048,0.0,0.001,0.473,-0.424,3.116
9,0.048,0.0,0.001,0.473,-0.424,3.043
10,0.048,0.0,0.001,0.473,-0.424,2.971
11,0.048,0.0,0.001,0.473,-0.424,2.898
12,0.048,0.0,0.001,0.473,-0.424,2.826
13,0.048,0.0,0.0,0.472,-0.424,2.753
14,0.048,0.0,0.001,0.473,-0.424,2.681
15,0.048,0.0,0.001,0.473,-0.424,2.608
16,0.048,0.0,0.001,0.473,-0.424,2.536
17,0.048,0.0,0.001,0.473,-0.424,2.463
18,0.048,0.0,0.001,0.473,-0.424,2.391
19,0.048,0.0,0.001,0.473,-0.424,2.318
20,0.048,0.0,0.001,0.473,-0.424,2.246
21,0.048,0.0,0.001,0.473,-0.424,2.173
22,0.048,0.0,0.001,0.473,-0.424,2.101
23,0.048,0.0,0.001,0.473,-0.424,2.028
24,0.048,0.0,0.001,0.473,-0.424,1.956
25,0.048,0.0,0.001,0.473,-0.424,1.883
26,0.048,0.0,0.001,0.473,-0.424,1.811
27,0.048,0.0,0.0,0.472,-0.424,1.738
28,0.048,0.0,0.001,0.473,-0.424,1.666
29,0.14800000000000002,0.0,0.001,0.573,-0.424,1.594
30,0.14800000000000002,0.0,0.001,0.573,-0.424,1.506
31,0.174,0.0,0.001,0.599,-0.424,1.418
32,0.048,0.0,0.001,0.473,-0.424,1.326
33,0.048,0.0,0.0,0.472,-0.424,1.254
34,0.048,0.0,0.001,0.473,-0.424,1.181
35,0.048,0.0,0.001,0.473,-0.424,1.109
36,0.048,0.0,0.001,0.473,-0.424,1.036
37,0.048,0.0,0.001,0.473,-0.424,0.964
38,0.048,0.0,0.0,0.472,-0.424,0.891
39,0.048,0.1,0.001,0.373,-0.424,0.819
40,0.048,0.1,0.001,0.373,-0.424,0.762
41,0.048,0.1,0.001,0.373,-0.424,0.704
42,0.048,0.1,0.001,0.373,-0.424,0.647
43,0.048,0.1,0.0,0.372,-0.424,0.59
44,0.048,0.1,0.001,0.373,-0.424,0.533
45,0.048,0.3,0.001,0.173,-0.424,0.476
46,0.048,0.3,0.001,0.173,-0.424,0.449
47,0.048,0.3,0.001,0.173,-0.424,0.423
48,0.048,0.3,0.0,0.172,-0.424,0.396
49,0.048,0.3,0.001,0.173,-0.424,0.37
50,0.048,0.3,0.001,0.173,-0.424,0.344
51,0.048,0.6,0.001,-0.127,-0.424,0.317
52,0.048,0.6,0.001,-0.127,-0.424,0.337
53,0.048,0.6,0.001,-0.127,-0.424,0.356
54,0.048,0.6,0.0,-0.128,-0.424,0.376
55,0.048,0.6,0.001,-0.127,-0.424,0.395
56,0.048,0.6,0.001,-0.127,-0.424,0.415
57,0.048,1.0,0.001,-0.527,-0.424,0.434
58,0.048,1.0,0.001,-0.527,-0.424,0.515
59,0.048,1.0,0.0,-0.528,-0.424,0.596
60,0.048,1.0,0.001,-0.527,-0.424,0.677
61,0.048,1.0,0.001,-0.527,-0.424,0.758
62,0.048,1.0,0.001,-0.527,-0.424,0.839
63,0.048,1.6,0.001,-1.127,-0.424,0.919
64,0.048,1.6,0.0,-1.128,-0.424,1.092
65,0.048,1.6,0.001,-1.127,-0.424,1.265
66,0.048,1.6,0.001,-1.127,-0.424,1.438
67,0.048,1.6,0.001,-1.127,-0.424,1.611
68,0.048,1.6,0.001,-1.127,-0.424,1.784
69,0.048,2.0,0.0,-1.528,-0.424,1.957
70,0.048,2.0,0.001,-1.527,-0.424,2.191
71,0.048,2.0,0.001,-1.527,-0.424,2.425
72,0.048,2.0,0.001,-1.527,-0.424,2.659
73,0.048,2.0,0.001,-1.527,-0.424,2.893
74,0.048,2.0,0.0,-1.528,-0.424,3.128
75,0.048,2.2,0.001,-1.727,-0.424,3.362
76,0.048,2.2,0.001,-1.727,-0.424,3.627
77,0.048,2.2,0.001,-1.727,-0.424,3.892
78,0.048,2.2,0.001,-1.727,-0.424,4.156
79,0.048,2.2,0.001,-1.727,-0.424,4.421
80,0.048,2.2,0.0,-1.728,-0.424,4.686
81,0.048,2.0,0.001,-1.527,-0.424,4.951
82,0.048,2.0,0.001,-1.527,-0.424,5.185
83,0.048,2.0,0.001,-1.527,-0.424,5.419
84,0.048,2.0,0.001,-1.527,-0.424,5.654
85,0.048,2.0,0.0,-1.528,-0.424,5.888
86,0.048,2.0,0.001,-1.527,-0.424,6.122
87,0.048,1.8,0.001,-1.327,-0.424,6.356
88,0.048,1.8,0.001,-1.327,-0.424,6.56
89,0.048,1.8,0.001,-1.327,-0.424,6.763
90,0.048,1.8,0.0,-1.328,-0.424,6.967
91,0.048,1.8,0.461,-0.867,-0.424,7.17
92,0.048,1.8,0.617,-0.711,-0.424,7.303
93,0.048,1.4,0.616,-0.312,-0.424,7.412
94,0.048,1.4,0.616,-0.312,-0.424,7.46
95,0.048,1.4,0.616,-0.312,-0.424,7.508
96,0.048,1.4,0.615,-0.313,-0.424,7.556
97,0.048,1.4,0.615,-0.313,-0.424,7.604
98,0.048,1.4,0.615,-0.313,-0.424,7.652
99,0.048,1.0,0.615,0.001,-0.338,7.7
100,0.048,1.0,0.614,-0.0,-0.338,7.7
101,0.048,1.0,0.614,-0.0,-0.338,7.7
102,0.355,1.0,0.614,0.125,-0.156,7.7
103,0.585,1.0,0.594,0.335,-0.156,7.681
104,0.585,1.0,0.377,0.118,-0.156,7.629
105,0.585,0.4,0.146,0.487,-0.156,7.611
106,0.519,0.4,0.001,0.276,-0.156,7.537
107,0.519,0.4,0.001,0.276,-0.156,7.494
108,0.519,0.4,0.001,0.276,-0.156,7.452
109,0.593,0.4,0.001,0.35,-0.156,7.41
110,1.567,0.4,0.001,1.324,-0.156,7.356
111,1.567,0.1,0.001,1.624,-0.156,7.153
112,1.6269999999999998,0.1,0.001,1.684,-0.156,6.904
113,0.508,0.1,0.001,0.565,-0.156,6.646
114,0.474,0.1,0.0,0.53,-0.156,6.559
