,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.045,0.0,0.0,0.371,-0.326,3.793
1,0.045,0.0,0.0,0.379,-0.334,3.736
2,0.045,0.0,0.001,0.38,-0.334,3.678
3,0.228,0.0,0.001,0.563,-0.334,3.62
4,0.228,0.0,0.001,0.563,-0.334,3.534
5,0.045,0.0,0.001,0.38,-0.334,3.447
6,0.045,0.0,0.0,0.379,-0.334,3.389
7,0.045,0.0,0.0,0.379,-0.334,3.331
8,0.045,0.0,0.001,0.38,-0.334,3.273
9,0.17600000000000002,0.0,0.001,0.511,-0.334,3.215
10,0.359,0.0,0.001,0.694,-0.334,3.136
11,0.228,0.0,0.001,0.563,-0.334,3.03
12,0.045,0.0,0.001,0.38,-0.334,2.944
13,0.045,0.0,0.001,0.38,-0.334,2.885
14,0.045,0.0,0.001,0.38,-0.334,2.827
15,0.045,0.0,0.001,0.38,-0.334,2.769
16,0.228,0.0,0.001,0.563,-0.334,2.711
17,0.228,0.0,0.001,0.563,-0.334,2.624
18,0.228,0.0,0.001,0.563,-0.334,2.538
19,0.17600000000000002,0.0,0.001,0.511,-0.334,2.452
20,0.17600000000000002,0.0,0.001,0.511,-0.334,2.373
21,0.045,0.0,0.001,0.38,-0.334,2.295
22,0.045,0.0,0.0,0.379,-0.334,2.237
23,0.045,0.0,0.0,0.379,-0.334,2.179
24,0.045,0.0,0.001,0.38,-0.334,2.121
25,0.228,0.0,0.001,0.563,-0.334,2.062
26,0.228,0.0,0.001,0.563,-0.334,1.976
27,0.045,0.0,0.001,0.38,-0.334,1.89
28,0.045,0.0,0.0,0.379,-0.334,1.831
29,0.17600000000000002,0.0,0.001,0.511,-0.334,1.773
30,0.045,0.0,0.001,0.38,-0.334,1.695
31,0.045,0.0,0.001,0.38,-0.334,1.637
32,0.045,0.0,0.001,0.38,-0.334,1.579
33,0.045,0.0,0.001,0.38,-0.334,1.52
34,0.228,0.0,0.0,0.562,-0.334,1.462
35,0.359,0.0,0.001,0.694,-0.334,1.376
36,0.045,0.0,0.001,0.38,-0.334,1.269
37,0.045,0.0,0.001,0.38,-0.334,1.211
38,0.165,0.0,0.001,0.5,-0.334,1.153
39,0.265,0.1,0.0,0.499,-0.334,1.076
40,0.521,0.1,0.001,0.756,-0.334,1.0
41,8.566,0.1,0.001,3.0,5.467,0.884
42,0.865,0.1,0.001,1.1,-0.334,0.424
43,0.045,0.1,0.001,0.28,-0.334,0.255
44,0.045,0.1,0.0,0.279,-0.334,0.212
45,0.228,0.3,0.001,0.263,-0.334,0.17
46,0.228,0.3,0.001,0.263,-0.334,0.129
47,0.17600000000000002,0.3,0.001,0.211,-0.334,0.089
48,0.17600000000000002,0.3,0.001,0.211,-0.334,0.057
49,0.045,0.3,0.001,0.08,-0.334,0.024
50,0.045,0.3,0.0,0.079,-0.334,0.012
51,0.045,0.6,0.001,-0.184,-0.37,0.0
52,0.228,0.6,0.001,-0.001,-0.37,0.028
53,0.228,0.6,0.001,-0.001,-0.37,0.028
54,0.228,0.6,0.001,-0.001,-0.37,0.028
55,0.045,0.6,0.0,-0.185,-0.37,0.029
56,0.057999999999999996,0.6,0.001,-0.171,-0.37,0.057
57,0.057999999999999996,1.0,0.001,-0.571,-0.37,0.083
58,0.057999999999999996,1.0,0.001,-0.571,-0.37,0.171
59,0.071,1.0,0.001,-0.558,-0.37,0.258
60,0.045,1.0,0.0,-0.585,-0.37,0.344
61,0.045,1.0,0.001,-0.584,-0.37,0.433
62,0.228,1.0,0.001,-0.401,-0.37,0.523
63,0.359,1.6,0.001,-0.87,-0.37,0.584
64,1.899,1.6,0.001,0.67,-0.37,0.718
65,0.071,1.6,0.001,-1.158,-0.37,0.615
66,0.071,1.6,0.0,-1.159,-0.37,0.793
67,0.08800000000000001,1.6,0.001,-1.141,-0.37,0.97
68,0.045,1.6,0.001,-1.184,-0.37,1.145
69,0.045,2.0,0.001,-1.584,-0.37,1.327
70,0.17600000000000002,2.0,0.001,-1.453,-0.37,1.57
71,0.045,2.0,0.0,-1.585,-0.37,1.792
72,0.228,2.0,0.001,-1.401,-0.37,2.035
73,0.228,2.0,0.001,-1.401,-0.37,2.25
74,0.045,2.0,0.001,-1.584,-0.37,2.465
75,0.045,2.2,0.001,-1.784,-0.37,2.708
76,0.045,2.2,0.0,-1.785,-0.37,2.981
77,0.045,2.2,0.001,-1.784,-0.37,3.255
78,0.045,2.2,0.001,-1.784,-0.37,3.528
79,0.17600000000000002,2.2,0.001,-1.653,-0.37,3.802
80,0.359,2.2,0.001,-1.47,-0.37,4.055
81,0.228,2.0,0.001,-1.401,-0.37,4.281
82,0.045,2.0,0.0,-1.585,-0.37,4.496
83,0.045,2.0,0.001,-1.584,-0.37,4.739
84,0.045,2.0,0.001,-1.584,-0.37,4.981
85,0.17600000000000002,2.0,0.001,-1.453,-0.37,5.224
86,0.17600000000000002,2.0,0.001,-1.453,-0.37,5.447
87,0.045,1.8,0.0,-1.385,-0.37,5.67
88,0.228,1.8,0.001,-1.201,-0.37,5.882
89,0.228,1.8,0.001,-1.201,-0.37,6.066
