,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.034,0.0,0.0,0.616,-0.582,3.756
1,0.034,0.0,0.006,0.355,-0.315,3.661
2,0.034,0.0,0.006,0.362,-0.322,3.607
3,0.034,0.0,0.006,0.396,-0.356,3.551
4,0.034,0.0,0.006,0.393,-0.353,3.491
5,0.034,0.0,0.0,0.4,-0.366,3.43
6,0.034,0.0,0.006,0.383,-0.343,3.369
7,0.20800000000000002,0.0,0.006,0.328,-0.114,3.31
8,0.20800000000000002,0.0,0.006,0.331,-0.117,3.26
9,0.034,0.0,0.006,0.309,-0.269,3.209
10,0.034,0.0,0.006,0.286,-0.246,3.162
11,0.034,0.0,0.0,0.282,-0.248,3.118
12,0.034,0.0,0.006,0.263,-0.223,3.075
13,0.034,0.0,0.006,0.273,-0.233,3.034
14,0.034,0.0,0.006,0.287,-0.247,2.992
15,0.20800000000000002,0.0,0.006,0.322,-0.108,2.948
16,0.20800000000000002,0.0,0.0,0.311,-0.103,2.899
17,0.034,0.0,0.006,0.284,-0.244,2.851
18,0.034,0.0,0.006,0.309,-0.269,2.808
19,0.034,0.0,0.006,0.297,-0.257,2.76
20,0.034,0.0,0.006,0.277,-0.237,2.715
21,0.034,0.0,0.0,0.374,-0.34,2.672
22,0.20800000000000002,0.0,0.006,0.387,-0.173,2.615
23,0.20800000000000002,0.0,0.006,0.305,-0.091,2.556
24,0.034,0.0,0.006,0.326,-0.286,2.509
25,0.034,0.0,0.006,0.326,-0.286,2.459
26,0.034,0.0,0.0,0.293,-0.259,2.409
27,0.034,0.0,0.006,0.273,-0.233,2.364
28,0.034,0.0,0.006,0.291,-0.251,2.322
29,0.20800000000000002,0.0,0.006,0.292,-0.078,2.277
30,0.20800000000000002,0.0,0.006,0.302,-0.088,2.233
31,0.034,0.0,0.006,0.3,-0.26,2.186
32,0.034,0.0,0.0,0.293,-0.259,2.14
33,0.034,0.0,0.006,0.3,-0.26,2.096
34,0.034,0.0,0.006,0.326,-0.286,2.05
35,0.034,0.0,0.006,0.324,-0.284,2.0
36,0.034,0.0,0.006,0.308,-0.268,1.95
37,0.034,0.0,0.0,0.308,-0.274,1.903
38,0.034,0.0,0.006,0.297,-0.257,1.855
39,0.034,0.1,0.006,0.221,-0.281,1.81
40,0.20800000000000002,0.1,0.006,0.318,-0.204,1.776
41,0.20800000000000002,0.1,0.006,0.535,-0.421,1.727
42,0.20800000000000002,0.1,0.0,0.457,-0.349,1.645
43,0.034,0.1,0.006,0.545,-0.605,1.575
44,0.034,0.1,0.006,0.531,-0.591,1.491
45,0.034,0.3,0.006,0.212,-0.472,1.41
46,0.034,0.3,0.006,0.265,-0.525,1.378
47,0.034,0.3,0.006,0.292,-0.552,1.337
48,0.034,0.3,0.0,0.417,-0.683,1.292
49,0.20800000000000002,0.3,0.006,0.365,-0.451,1.228
50,0.20800000000000002,0.3,0.006,0.343,-0.429,1.172
51,0.134,0.6,0.006,0.224,-0.684,1.12
52,0.18899999999999997,0.6,0.006,0.012,-0.417,1.085
53,0.18899999999999997,0.6,0.0,0.089,-0.5,1.084
54,0.034,0.6,0.006,0.08,-0.64,1.07
55,0.106,0.6,0.006,-0.105,-0.383,1.058
56,2.089,0.6,0.006,0.111,1.384,1.074
57,2.089,1.0,0.006,-0.107,1.202,1.057
58,0.33,1.0,0.0,-0.272,-0.398,1.073
59,0.33,1.0,0.006,-0.125,-0.539,1.115
60,0.106,1.0,0.006,-0.202,-0.686,1.134
61,0.106,1.0,0.006,-0.206,-0.682,1.165
62,0.106,1.0,0.006,-0.169,-0.719,1.197
63,0.106,1.6,0.0,-0.755,-0.739,1.223
64,0.106,1.6,0.006,-1.051,-0.437,1.338
65,0.28300000000000003,1.6,0.006,-1.066,-0.245,1.5
