;0
0;-0.009136769254239969
1;-0.0210194343438503
2;-0.02095885445672671
3;-0.02103632037424161
4;-0.02119879852873563
5;-0.021513475597890883
6;-0.022271474818665028
7;-0.021505287408845327
8;-0.020835086370645968
9;-0.021906466552428047
10;-0.021995354805170054
11;-0.020973339165737875
12;-0.02107690637142434
13;-0.021397700307695756
14;-0.021275991455091788
15;-0.020882862807967466
16;-0.02116530943105046
17;-0.021078078696728484
18;-0.020881817775127626
19;-0.021094972300018586
20;-0.021798555388485536
21;-0.02158476425886473
22;-0.02104925914849745
23;-0.02090254589601806
24;-0.020796128960765638
25;-0.02098773608460912
26;-0.021326322898950947
27;-0.021429964557045048
28;-0.021702678108923575
29;-0.021389217785430997
30;-0.02090032269845707
31;-0.020901180567950844
32;-0.020702767317376802
33;-0.021091328978976757
34;-0.021395787002198408
35;-0.021536235886853855
36;-0.023783633481554538
37;-0.021565164364276346
38;-0.021609067870868436
39;-0.021766681287256413
40;-0.021336788863892557
41;-0.026706032020102674
42;-0.022062801593779314
43;-0.031063905573862672
44;-0.02530140937671372
45;-0.02291373934884179
46;-0.022442440386104084
47;-0.0255801586116448
48;-0.029002917131831087
49;-0.023068939134139804
50;-0.02361421059097484
51;-0.02991468861544259
52;-0.02398037879957374
53;-0.02366463850899438
54;-0.023245190135116455
55;-0.028648874908643346
56;-0.02857237317426866
57;-0.024847095511946433
58;-0.02522575785805977
59;-0.025856299495114667
60;-0.02585642348918393
61;-0.022571098823632656
62;-0.03280849349689588
63;-0.022468613933942668
64;-0.025423714829817427
65;-0.025105540089307075
66;-0.022433651087537244
67;-0.02279319509607353
68;-0.026862903974714646
69;-0.026558823071299184
70;-0.024626622609014756
71;-0.027510739799890365
72;-0.02750792911183034
73;-0.02554814162623654
74;-0.02280076107128758
75;-0.02206745827252394
76;-0.02252979951487391
77;-0.022968685147120003
78;-0.023295617004491526
79;-0.022938687185668286
80;-0.02837651996004675
81;-0.025974859388518866
82;-0.02557729253676082
83;-0.02274491425990402
84;-0.02323557107554573
85;-0.026692145072801456
86;-0.03556431926851884
87;-0.02606854576691526
88;-0.026086844481045385
89;-0.029352494428643624
90;-0.03286443443111316
91;-0.03216644516525335
92;-0.03516107555184135
93;-0.030255497518376407
94;-0.029884492099063277
95;-0.03316111970968902
96;-0.03343620032662438
97;-0.030738908802718092
98;-0.03308367977605996
99;-0.030999183528127874
100;-0.03617212415083097
101;-0.03612363701031264
102;-0.036481491392228074
103;-0.03715836616524104
104;-0.034460529480999404
105;-0.03232749736726088
106;-0.032937523050676286
107;-0.03478550836568024
108;-0.0388297662187571
109;-0.04786192870098871
110;-0.043118812573256775
111;-0.04477530450380412
112;-0.042621683196160595
113;-0.036677278980419115
114;-0.03701944427910628
115;-0.03677197917539933
116;-0.03709626026593425
117;-0.041352420596124276
118;-0.042033896588434504
119;-0.04209003248355999
120;-0.03831736142954376
121;-0.038437277668282206
122;-0.039843851210908506
123;-0.03681252103113244
124;-0.03910408254521875
125;-0.039165236483834256
126;-0.03510964449633483
127;-0.03547601005797913
128;-0.035321741388434046
129;-0.035557964045941345
130;-0.036620755750227586
131;-0.03661705860141647
132;-0.04098234601404426
133;-0.042691976409400784
134;-0.036237730226198764
135;-0.03820127277127844
136;-0.04154730047218724
137;-0.041080848794205954
138;-0.03603980964897972
139;-0.035440621831106064
140;-0.03575603535936255
141;-0.0347242771784679
142;-0.03334977325902301
143;-0.022488313041430733
