,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
114,0.053,0.1,0.001,0.76,-0.806,6.863
115,0.053,0.1,0.001,0.705,-0.751,6.746
116,0.053,0.1,0.001,0.791,-0.837,6.638
117,0.223,0.0,0.0,0.869,-0.646,6.517
118,0.223,0.0,0.001,0.826,-0.602,6.383
119,0.053,0.0,0.001,0.8,-0.746,6.257
120,0.053,0.0,0.001,0.8,-0.746,6.134
121,0.053,0.0,0.001,0.762,-0.708,6.012
122,0.053,0.0,0.0,0.778,-0.725,5.895
123,0.053,0.0,0.001,0.697,-0.643,5.775
124,0.053,0.0,0.001,0.685,-0.631,5.669
125,0.053,0.0,0.001,0.756,-0.702,5.564
126,0.053,0.0,0.001,0.604,-0.55,5.448
127,0.34700000000000003,0.0,0.0,0.731,-0.384,5.355
128,0.396,0.0,0.001,0.831,-0.434,5.243
129,0.6759999999999999,0.0,0.001,0.671,0.006,5.116
130,0.6759999999999999,0.0,0.001,0.731,-0.054,5.013
131,2.9739999999999998,0.0,0.001,0.759,2.216,4.901
132,0.611,0.0,0.0,0.753,-0.142,4.784
133,0.701,0.0,0.001,0.775,-0.073,4.669
134,0.7609999999999999,0.0,0.001,0.569,0.193,4.55
135,0.752,0.0,0.001,0.641,0.112,4.463
136,0.6920000000000001,0.0,0.001,0.719,-0.026,4.364
137,0.922,0.0,0.001,0.719,0.204,4.254
138,0.721,0.0,0.0,0.511,0.21,4.144
139,0.6609999999999999,0.0,0.001,0.497,0.165,4.066
140,0.523,0.0,0.001,0.433,0.091,3.989
141,0.461,0.0,0.001,0.454,0.008,3.923
142,0.053,0.0,0.001,0.437,-0.383,3.853
143,0.053,0.0,0.0,0.415,-0.362,3.786
