,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.049,0.0,-0.36,0.409,3.905
1,0.049,0.006,-0.329,0.384,3.96
2,0.049,0.006,-0.353,0.408,4.011
3,0.049,0.006,-0.35,0.405,4.065
4,0.049,0.006,-0.375,0.43,4.119
5,0.049,0.0,-0.365,0.414,4.176
6,0.049,0.006,-0.366,0.421,4.232
7,0.049,0.006,-0.41,0.465,4.288
8,0.171,0.006,-0.413,0.59,4.351
9,0.171,0.006,-0.42,0.597,4.414
10,0.049,0.006,-0.444,0.499,4.479
11,0.21,0.0,-0.463,0.673,4.547
12,0.21,0.006,-0.469,0.685,4.618
13,0.049,0.006,-0.462,0.517,4.69
14,0.049,0.006,-0.461,0.516,4.761
15,0.171,0.006,-0.43,0.607,4.831
16,0.171,0.0,-0.435,0.606,4.897
17,0.049,0.006,-0.451,0.506,4.964
18,0.21,0.006,-0.437,0.653,5.033
19,0.21,0.006,-0.449,0.665,5.1
20,0.049,0.006,-0.453,0.508,5.169
21,0.049,0.0,-0.381,0.43,5.238
22,0.049,0.006,-0.374,0.429,5.297
23,0.049,0.006,-0.441,0.496,5.354
24,0.049,0.006,-0.427,0.482,5.422
25,0.049,0.006,-0.426,0.481,5.487
26,0.049,0.0,-0.447,0.496,5.552
27,0.171,0.006,-0.458,0.635,5.621
28,0.332,0.006,-0.443,0.781,5.691
29,0.21,0.006,-0.441,0.657,5.759
30,0.049,0.006,-0.439,0.494,5.827
31,0.049,0.006,-0.433,0.488,5.894
32,0.049,0.0,-0.446,0.495,5.961
33,0.171,0.006,-0.444,0.621,6.029
34,0.171,0.006,-0.423,0.6,6.097
35,0.21,0.006,-0.424,0.64,6.162
36,0.21,0.006,-0.387,0.603,6.227
37,0.049,0.0,-0.428,0.477,6.286
38,0.049,0.006,-0.429,0.484,6.352
39,0.049,0.006,-0.4,0.455,6.418
40,0.049,0.006,-0.343,0.398,6.479
41,0.049,0.006,-0.186,0.241,6.532
42,0.049,0.0,-0.236,0.285,6.56
43,0.332,0.006,0.018,0.32,6.597
44,0.332,0.006,-0.124,0.462,6.594
45,0.049,0.006,-0.251,0.306,6.613
46,0.049,0.006,-0.205,0.26,6.651
47,0.049,0.0,-0.196,0.245,6.683
48,0.049,0.006,-0.113,0.168,6.713
49,0.049,0.006,-0.148,0.203,6.73
50,0.049,0.006,-0.152,0.207,6.753
51,0.049,0.006,-0.005,0.06,6.776
52,0.171,0.0,-0.16,0.331,6.777
53,0.171,0.006,-0.056,0.233,6.801
54,0.049,0.006,-0.102,0.157,6.81
55,0.049,0.006,-0.105,0.16,6.826
56,0.21,0.006,-0.066,0.282,6.842
57,0.21,0.006,0.027,0.189,6.852
58,0.049,0.0,-0.096,0.145,6.848
59,0.049,0.006,0.031,0.024,6.862
60,0.049,0.006,-0.023,0.078,6.858
61,0.171,0.006,-0.03,0.207,6.861
62,0.171,0.006,-0.076,0.253,6.866
63,0.049,0.0,-0.064,0.113,6.877
64,0.21,0.006,-0.131,0.347,6.887
65,0.21,0.006,-0.191,0.407,6.907
66,0.049,0.006,-0.224,0.279,6.937
67,0.049,0.006,-0.233,0.288,6.971
68,0.171,0.0,-0.094,0.265,7.007
69,0.282,0.006,-0.103,0.391,7.021
70,0.049,0.006,-0.099,0.154,7.037
71,0.21,0.006,-0.059,0.275,7.052
72,0.39,0.006,0.033,0.363,7.061
73,0.257,0.0,0.061,0.196,7.056
74,0.257,0.006,-0.12,0.383,7.047
75,0.257,0.006,-0.257,0.52,7.065
76,0.345,0.006,-0.346,0.697,7.105
77,0.285,0.006,-0.232,0.523,7.158
78,0.40700000000000003,0.0,-0.221,0.628,7.193
79,0.568,0.006,-0.117,0.691,7.227
80,0.418,0.006,0.069,0.355,7.245
81,0.257,0.006,-0.143,0.406,7.234
82,0.257,0.006,0.034,0.229,7.256
83,0.257,0.006,-0.036,0.299,7.251
84,0.257,0.0,0.049,0.208,7.257
85,0.397,0.006,0.093,0.31,7.249
86,0.5579999999999999,0.006,0.366,0.198,7.235
87,0.68,0.006,0.103,0.583,7.179
88,0.397,0.006,0.019,0.384,7.163
89,0.27,0.0,0.118,0.152,7.16
90,0.27899999999999997,0.006,0.394,-0.109,7.142
91,0.20600000000000002,0.006,0.326,-0.114,7.081
92,0.20600000000000002,0.006,0.194,0.018,7.031
93,0.32799999999999996,0.006,0.078,0.256,7.002
94,0.32799999999999996,0.0,0.298,0.03,6.99
95,0.20600000000000002,0.006,0.433,-0.221,6.944
96,0.049,0.006,0.48,-0.425,6.878
97,0.21,0.006,0.539,-0.323,6.804
98,0.21,0.006,0.629,-0.413,6.721
99,0.049,0.0,0.746,-0.697,6.625
100,0.171,0.006,0.907,-0.73,6.511
101,0.171,0.006,0.68,-0.503,6.372
102,0.21,0.006,0.707,-0.491,6.267
103,0.21899999999999997,0.006,0.728,-0.503,6.159
104,0.49,0.006,0.698,-0.202,6.047
105,0.64,0.0,0.677,-0.037,5.94
106,0.54,0.006,0.6,-0.054,5.836
107,0.601,0.006,0.683,-0.076,5.744
108,0.45799999999999996,0.006,0.783,-0.319,5.64
109,0.336,0.006,0.836,-0.494,5.52
110,0.266,0.0,0.824,-0.558,5.391
111,0.266,0.006,0.738,-0.466,5.265
112,0.218,0.006,0.753,-0.529,5.152
113,0.536,0.006,0.722,-0.18,5.036
114,0.5710000000000001,0.006,0.638,-0.061,4.926
115,0.299,0.0,0.612,-0.313,4.828
116,0.466,0.006,0.706,-0.234,4.734
117,0.446,0.006,0.594,-0.142,4.626
118,0.446,0.006,0.516,-0.064,4.535
119,0.408,0.006,0.374,0.04,4.456
120,0.37799999999999995,0.0,0.419,-0.041,4.398
121,0.129,0.006,0.314,-0.179,4.334
122,0.129,0.006,0.279,-0.144,4.286
123,0.32,0.006,0.213,0.113,4.243
124,0.38,0.006,0.187,0.199,4.211
125,0.45399999999999996,0.006,0.263,0.197,4.182
126,0.752,0.0,0.108,0.644,4.142
127,0.643,0.006,0.297,0.352,4.125
128,0.621,0.006,0.402,0.225,4.08
129,0.682,0.006,0.165,0.523,4.018
130,0.682,0.006,0.201,0.487,3.993
131,0.049,0.0,0.214,-0.165,3.962
132,0.171,0.006,0.171,0.006,3.929
133,0.171,0.006,0.124,0.053,3.903
134,0.049,0.006,-0.036,0.091,3.884
135,0.049,0.006,0.078,-0.023,3.889
136,0.049,0.0,0.156,-0.107,3.877
137,0.21,0.006,0.159,0.057,3.853
138,0.21,0.006,-0.022,0.238,3.829
139,0.049,0.006,-0.058,0.113,3.832
140,0.049,0.006,-0.159,0.214,3.841
141,0.049,0.0,-0.131,0.18,3.866
142,0.171,0.006,-0.128,0.305,3.886
143,0.171,0.006,-0.36,0.537,3.905
