,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.092,0.001,-0.319,0.412,3.899
1,0.092,0.001,-0.283,0.376,3.948
2,0.174,0.0,-0.284,0.458,3.991
3,0.555,0.001,-0.268,0.824,4.035
4,0.57,0.001,-0.272,0.843,4.076
5,0.659,0.001,-0.261,0.921,4.118
6,0.381,0.001,-0.26,0.642,4.158
7,0.052000000000000005,0.0,-0.278,0.33,4.197
8,0.142,0.001,-0.257,0.4,4.24
9,0.142,0.001,-0.254,0.397,4.279
10,0.052000000000000005,0.001,-0.279,0.332,4.318
11,0.196,0.001,-0.298,0.495,4.361
12,0.36200000000000004,0.0,-0.305,0.667,4.407
13,0.218,0.001,-0.297,0.516,4.454
14,0.305,0.001,-0.296,0.602,4.499
15,0.052000000000000005,0.001,-0.264,0.317,4.544
16,0.052000000000000005,0.001,-0.269,0.322,4.585
17,0.196,0.0,-0.286,0.482,4.626
18,0.196,0.001,-0.272,0.469,4.67
19,0.052000000000000005,0.001,-0.284,0.337,4.712
20,0.052000000000000005,0.001,-0.288,0.341,4.755
21,0.308,0.001,-0.214,0.523,4.799
22,0.47100000000000003,0.001,-0.208,0.68,4.832
23,0.052000000000000005,0.0,-0.275,0.327,4.864
24,0.052000000000000005,0.001,-0.262,0.315,4.906
25,0.052000000000000005,0.001,-0.261,0.314,4.946
26,0.052000000000000005,0.001,-0.283,0.336,4.986
27,0.196,0.001,-0.293,0.49,5.03
28,0.196,0.0,-0.278,0.474,5.075
29,0.215,0.001,-0.276,0.492,5.117
30,0.218,0.001,-0.275,0.494,5.16
31,0.308,0.001,-0.268,0.577,5.202
32,0.142,0.001,-0.282,0.425,5.243
33,0.052000000000000005,0.0,-0.28,0.332,5.286
34,0.196,0.001,-0.259,0.456,5.329
35,0.196,0.001,-0.259,0.456,5.369
36,0.052000000000000005,0.001,-0.222,0.275,5.409
37,0.47100000000000003,0.001,-0.264,0.736,5.443
38,0.308,0.0,-0.266,0.574,5.483
39,0.052000000000000005,0.001,-0.236,0.289,5.524
40,0.196,0.001,-0.178,0.375,5.56
41,0.196,0.001,-0.018,0.215,5.587
42,0.052000000000000005,0.001,-0.069,0.122,5.59
43,0.052000000000000005,0.001,0.184,-0.131,5.601
44,0.218,0.0,0.045,0.173,5.572
45,0.381,0.001,-0.086,0.468,5.566
46,0.215,0.001,-0.039,0.255,5.579
47,0.196,0.001,-0.03,0.227,5.585
48,0.196,0.001,0.055,0.142,5.589
49,0.052000000000000005,0.0,0.02,0.032,5.581
50,0.052000000000000005,0.001,0.015,0.038,5.578
51,0.218,0.001,0.162,0.057,5.575
52,0.218,0.001,0.067,0.152,5.551
53,0.052000000000000005,0.001,0.112,-0.059,5.54
54,0.215,0.0,0.066,0.149,5.523
55,0.215,0.001,0.062,0.154,5.513
56,0.28600000000000003,0.001,0.161,0.126,5.503
57,0.28600000000000003,0.001,0.193,0.094,5.479
58,0.218,0.001,0.076,0.143,5.449
59,0.218,0.0,0.136,0.082,5.437
60,0.052000000000000005,0.001,0.082,-0.029,5.417
61,0.052000000000000005,0.001,0.075,-0.022,5.404
62,0.052000000000000005,0.001,0.09,-0.037,5.392
63,0.052000000000000005,0.001,0.103,-0.05,5.379
64,0.052000000000000005,0.0,-0.027,0.079,5.363
65,0.052000000000000005,0.001,-0.095,0.148,5.367
66,0.069,0.001,-0.138,0.208,5.382
67,0.23199999999999998,0.001,-0.148,0.381,5.403
68,0.542,0.001,0.072,0.471,5.426
69,0.379,0.0,-0.059,0.438,5.415
70,0.43700000000000006,0.001,0.082,0.356,5.424
71,0.271,0.001,0.168,0.104,5.411
72,0.052000000000000005,0.001,0.198,-0.145,5.385
