,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.051,0.0,0.001,0.446,-0.394,3.782
1,0.051,0.0,0.001,0.334,-0.282,3.713
2,0.051,0.0,0.001,0.344,-0.292,3.662
3,0.051,0.0,0.001,0.404,-0.352,3.609
4,0.171,0.0,0.0,0.403,-0.232,3.547
5,0.171,0.0,0.001,0.398,-0.226,3.485
6,0.051,0.0,0.001,0.361,-0.309,3.424
7,0.051,0.0,0.001,0.332,-0.28,3.369
8,0.051,0.0,0.001,0.379,-0.327,3.318
9,0.051,0.0,0.001,0.376,-0.324,3.26
10,0.268,0.0,0.0,0.338,-0.07,3.202
11,0.268,0.0,0.001,0.354,-0.085,3.15
12,0.051,0.0,0.001,0.328,-0.276,3.096
13,0.051,0.0,0.001,0.316,-0.264,3.046
14,0.051,0.0,0.001,0.335,-0.283,2.997
15,0.051,0.0,0.0,0.355,-0.304,2.946
16,0.051,0.0,0.001,0.349,-0.297,2.892
17,0.171,0.0,0.001,0.35,-0.178,2.838
18,0.38799999999999996,0.0,0.001,0.395,-0.006,2.784
19,0.268,0.0,0.001,0.371,-0.102,2.724
20,0.051,0.0,0.0,0.34,-0.289,2.667
21,0.051,0.0,0.001,0.34,-0.288,2.615
22,0.051,0.0,0.001,0.342,-0.29,2.563
23,0.051,0.0,0.001,0.327,-0.275,2.51
24,0.38799999999999996,0.0,0.001,0.379,0.01,2.46
25,0.38799999999999996,0.0,0.001,0.408,-0.019,2.402
26,0.268,0.0,0.0,0.366,-0.098,2.339
27,0.051,0.0,0.001,0.344,-0.292,2.283
28,0.051,0.0,0.001,0.345,-0.293,2.231
29,0.051,0.0,0.001,0.33,-0.278,2.178
30,0.051,0.0,0.001,0.333,-0.281,2.127
31,0.051,0.0,0.0,0.338,-0.287,2.076
32,0.268,0.0,0.001,0.349,-0.08,2.024
33,0.268,0.0,0.001,0.366,-0.097,1.971
34,0.171,0.0,0.001,0.381,-0.209,1.915
35,0.051,0.0,0.001,0.369,-0.317,1.856
36,0.051,0.0,0.0,0.364,-0.313,1.8
37,0.051,0.0,0.001,0.329,-0.277,1.744
38,0.051,0.0,0.001,0.322,-0.27,1.694
39,0.051,0.1,0.001,0.285,-0.333,1.644
40,0.268,0.1,0.001,0.425,-0.256,1.601
41,0.268,0.1,0.001,0.438,-0.269,1.535
42,0.051,0.1,0.0,0.362,-0.411,1.468
43,3.158,0.1,0.001,0.516,2.543,1.413
44,3.3369999999999997,0.1,0.001,0.751,2.487,1.334
45,0.051,0.3,0.001,0.334,-0.582,1.218
46,0.051,0.3,0.001,0.327,-0.575,1.167
47,0.467,0.3,0.0,0.397,-0.23,1.117
48,0.8370000000000001,0.3,0.001,0.589,-0.051,1.056
49,0.9109999999999999,0.3,0.001,0.419,0.193,0.966
50,0.051,0.3,0.001,0.37,-0.618,0.902
51,0.051,0.6,0.001,0.125,-0.673,0.845
52,0.051,0.6,0.0,0.022,-0.571,0.826
53,0.051,0.6,0.001,0.054,-0.602,0.822
54,0.38799999999999996,0.6,0.001,0.049,-0.26,0.814
55,0.38799999999999996,0.6,0.001,0.118,-0.329,0.806
56,0.051,0.6,0.001,0.104,-0.652,0.788
57,0.051,1.0,0.0,-0.201,-0.748,0.772
58,0.051,1.0,0.001,-0.349,-0.599,0.803
59,0.051,1.0,0.001,-0.17,-0.778,0.857
60,0.051,1.0,0.001,-0.223,-0.725,0.883
61,0.268,1.0,0.001,-0.186,-0.545,0.917
62,0.268,1.0,0.0,-0.26,-0.472,0.945
63,0.268,1.6,0.001,-0.771,-0.56,0.985
64,0.051,1.6,0.001,-1.115,-0.433,1.103
65,0.051,1.6,0.001,-1.032,-0.516,1.274
66,0.051,1.6,0.001,-0.992,-0.556,1.433
67,0.051,1.6,0.001,-1.028,-0.52,1.585
68,0.051,1.6,0.0,-0.885,-0.664,1.742
69,0.051,2.0,0.001,-1.318,-0.63,1.878
70,0.38799999999999996,2.0,0.001,-1.318,-0.293,2.08
71,0.38799999999999996,2.0,0.001,-1.22,-0.391,2.282
72,0.268,2.0,0.001,-1.149,-0.582,2.469
73,0.051,2.0,0.0,-1.206,-0.743,2.645
74,0.051,2.0,0.001,-1.151,-0.797,2.83
75,0.051,2.2,0.001,-1.567,-0.581,3.007
76,0.051,2.2,0.001,-1.783,-0.365,3.247
