,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
124,0.639,0.0,0.694,-0.055,6.28
125,0.579,0.0,0.634,-0.055,6.173
126,0.493,0.0,0.548,-0.055,6.076
127,0.45899999999999996,0.0,0.514,-0.055,5.992
128,0.54,0.0,0.595,-0.055,5.913
129,0.22399999999999998,0.0,0.279,-0.055,5.822
130,1.8619999999999999,0.0,1.917,-0.055,5.779
131,0.871,0.0,0.926,-0.055,5.485
132,0.519,0.0,0.574,-0.055,5.344
133,0.32299999999999995,0.0,0.378,-0.055,5.256
134,0.295,0.0,0.35,-0.055,5.198
135,0.733,0.0,0.788,-0.055,5.144
136,0.598,0.0,0.653,-0.055,5.023
137,2.185,0.0,2.24,-0.055,4.923
138,0.78,0.0,0.835,-0.055,4.58
139,0.912,0.0,0.967,-0.055,4.452
140,1.06,0.0,1.115,-0.055,4.303
141,1.15,0.0,1.205,-0.055,4.132
142,0.9890000000000001,0.0,1.044,-0.055,3.948
143,0.823,0.0,0.407,0.416,3.788
