,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.055,0.0,0.859,-0.804,3.718
1,0.055,0.0,0.388,-0.333,3.586
2,0.055,0.0,0.388,-0.333,3.527
3,0.055,0.0,0.388,-0.333,3.468
4,0.055,0.0,0.388,-0.333,3.408
5,0.055,0.0,0.388,-0.333,3.349
6,0.209,0.0,0.542,-0.333,3.289
7,0.209,0.0,0.542,-0.333,3.206
8,0.055,0.0,0.388,-0.333,3.123
9,0.055,0.0,0.388,-0.333,3.063
10,0.055,0.0,0.388,-0.333,3.004
11,0.055,0.0,0.388,-0.333,2.945
12,0.055,0.0,0.388,-0.333,2.885
13,0.055,0.0,0.388,-0.333,2.826
14,0.209,0.0,0.542,-0.333,2.766
15,0.209,0.0,0.542,-0.333,2.683
16,0.055,0.0,0.388,-0.333,2.6
17,0.055,0.0,0.388,-0.333,2.54
18,0.055,0.0,0.388,-0.333,2.481
19,0.055,0.0,0.388,-0.333,2.422
20,0.055,0.0,0.388,-0.333,2.362
21,0.055,0.0,0.388,-0.333,2.303
22,0.055,0.0,0.388,-0.333,2.243
23,0.055,0.0,0.388,-0.333,2.184
24,0.055,0.0,0.388,-0.333,2.124
25,0.055,0.0,0.388,-0.333,2.065
26,0.055,0.0,0.388,-0.333,2.005
27,0.055,0.0,0.388,-0.333,1.946
28,0.055,0.0,0.388,-0.333,1.886
29,0.209,0.0,0.542,-0.333,1.827
30,0.209,0.0,0.542,-0.333,1.744
31,0.055,0.0,0.388,-0.333,1.661
32,0.055,0.0,0.388,-0.333,1.601
33,0.055,0.0,0.388,-0.333,1.542
34,0.055,0.0,0.388,-0.333,1.482
35,0.055,0.0,0.388,-0.333,1.423
36,0.055,0.0,0.388,-0.333,1.363
37,0.055,0.0,0.388,-0.333,1.304
38,0.055,0.0,0.388,-0.333,1.244
39,0.209,0.1,0.442,-0.333,1.185
40,0.209,0.1,0.442,-0.333,1.117
41,0.055,0.1,0.288,-0.333,1.049
42,0.055,0.1,0.288,-0.333,1.005
43,0.055,0.1,0.288,-0.333,0.961
44,0.195,0.1,0.428,-0.333,0.917
45,0.135,0.3,0.168,-0.333,0.851
46,0.315,0.3,0.348,-0.333,0.826
