,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.05,0.0,0.331,-0.281,3.799
1,0.191,0.0,0.526,-0.335,3.749
2,0.191,0.0,0.526,-0.335,3.668
3,0.05,0.0,0.385,-0.335,3.587
4,0.05,0.0,0.385,-0.335,3.528
5,0.05,0.0,0.385,-0.335,3.469
6,0.34299999999999997,0.0,0.678,-0.335,3.41
7,0.34299999999999997,0.0,0.678,-0.335,3.306
8,0.05,0.0,0.385,-0.335,3.202
9,0.05,0.0,0.385,-0.335,3.143
10,0.05,0.0,0.385,-0.335,3.084
11,0.05,0.0,0.385,-0.335,3.024
12,0.05,0.0,0.385,-0.335,2.965
13,0.153,0.0,0.488,-0.335,2.906
14,0.381,0.0,0.716,-0.335,2.831
15,0.381,0.0,0.716,-0.335,2.721
16,0.05,0.0,0.385,-0.335,2.612
17,0.05,0.0,0.385,-0.335,2.553
18,0.05,0.0,0.385,-0.335,2.493
19,0.153,0.0,0.488,-0.335,2.434
20,0.153,0.0,0.488,-0.335,2.359
21,0.24,0.0,0.575,-0.335,2.285
22,0.24,0.0,0.575,-0.335,2.196
23,0.191,0.0,0.526,-0.335,2.108
24,0.191,0.0,0.526,-0.335,2.027
25,0.05,0.0,0.385,-0.335,1.947
26,0.05,0.0,0.385,-0.335,1.887
27,0.05,0.0,0.385,-0.335,1.828
28,0.05,0.0,0.385,-0.335,1.769
29,0.153,0.0,0.488,-0.335,1.71
30,0.34299999999999997,0.0,0.678,-0.335,1.635
31,0.24,0.0,0.575,-0.335,1.531
32,0.191,0.0,0.526,-0.335,1.443
33,0.191,0.0,0.526,-0.335,1.362
34,0.05,0.0,0.385,-0.335,1.282
35,0.05,0.0,0.385,-0.335,1.222
36,0.05,0.0,0.385,-0.335,1.163
37,0.24,0.0,0.575,-0.335,1.104
38,0.381,0.0,0.716,-0.335,1.016
39,0.191,0.1,0.426,-0.335,0.906
40,0.05,0.1,0.285,-0.335,0.841
41,0.05,0.1,0.285,-0.335,0.797
42,0.153,0.1,0.388,-0.335,0.753
43,0.153,0.1,0.388,-0.335,0.694
44,0.191,0.1,0.426,-0.335,0.634
45,0.381,0.3,0.416,-0.335,0.569
46,0.34,0.3,0.375,-0.335,0.505
47,0.12,0.3,0.155,-0.335,0.447
48,0.155,0.3,0.19,-0.335,0.423
49,0.41,0.3,0.445,-0.335,0.394
50,0.37,0.3,0.405,-0.335,0.326
51,0.55,0.6,0.285,-0.335,0.264
52,0.899,0.6,0.634,-0.335,0.22
53,0.914,0.6,0.649,-0.335,0.123
54,0.34,0.6,0.075,-0.335,0.023
55,0.34,0.6,0.075,-0.335,0.012
56,0.22,0.6,-0.0,-0.38,0.0
57,0.19899999999999998,1.0,-0.411,-0.39,0.0
58,0.28,1.0,-0.33,-0.39,0.063
59,0.28,1.0,-0.33,-0.39,0.114
60,0.254,1.0,-0.356,-0.39,0.164
61,0.254,1.0,-0.356,-0.39,0.219
62,0.064,1.0,-0.546,-0.39,0.273
63,2.515,1.6,1.305,-0.39,0.357
64,0.153,1.6,-1.057,-0.39,0.157
65,0.05,1.6,-1.16,-0.39,0.319
66,0.191,1.6,-1.019,-0.39,0.497
67,0.191,1.6,-1.019,-0.39,0.653
68,0.05,1.6,-1.16,-0.39,0.809
69,0.34299999999999997,2.0,-1.267,-0.39,0.987
70,0.24,2.0,-1.37,-0.39,1.181
71,0.05,2.0,-1.56,-0.39,1.391
72,0.05,2.0,-1.56,-0.39,1.63
73,0.191,2.0,-1.419,-0.39,1.87
74,0.191,2.0,-1.419,-0.39,2.087
75,0.05,2.2,-1.76,-0.39,2.305
76,0.24,2.2,-1.57,-0.39,2.575
77,0.24,2.2,-1.57,-0.39,2.815
78,0.05,2.2,-1.76,-0.39,3.056
79,0.05,2.2,-1.76,-0.39,3.326
80,0.05,2.2,-1.76,-0.39,3.596
81,0.05,2.0,-1.56,-0.39,3.866
82,0.24,2.0,-1.37,-0.39,4.105
83,0.24,2.0,-1.37,-0.39,4.315
84,0.24,2.0,-1.37,-0.39,4.525
85,0.153,2.0,-1.457,-0.39,4.735
86,0.294,2.0,-1.316,-0.39,4.958
87,0.191,1.8,-1.219,-0.39,5.16
88,0.05,1.8,-1.36,-0.39,5.347
89,0.05,1.8,-1.36,-0.39,5.555
90,0.153,1.8,-1.257,-0.39,5.764
91,0.153,1.8,-1.257,-0.39,5.957
