,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.0,0.608,-0.56,3.757
1,0.048,0.0,0.457,-0.409,3.664
2,0.048,0.0,0.457,-0.409,3.594
3,0.048,0.0,0.457,-0.409,3.524
4,0.048,0.0,0.457,-0.409,3.453
5,0.133,0.0,0.542,-0.409,3.383
6,0.048,0.0,0.457,-0.409,3.3
7,0.048,0.0,0.457,-0.409,3.23
8,0.249,0.0,0.658,-0.409,3.16
9,0.249,0.0,0.658,-0.409,3.059
10,0.048,0.0,0.457,-0.409,2.958
11,0.048,0.0,0.457,-0.409,2.888
12,0.048,0.0,0.457,-0.409,2.818
13,0.048,0.0,0.457,-0.409,2.748
14,0.249,0.0,0.658,-0.409,2.678
15,0.249,0.0,0.658,-0.409,2.577
16,0.048,0.0,0.457,-0.409,2.476
17,0.048,0.0,0.457,-0.409,2.406
18,0.048,0.0,0.457,-0.409,2.336
19,0.048,0.0,0.457,-0.409,2.266
20,0.048,0.0,0.457,-0.409,2.196
21,0.048,0.0,0.457,-0.409,2.126
22,0.048,0.0,0.457,-0.409,2.056
23,0.048,0.0,0.457,-0.409,1.986
24,0.249,0.0,0.658,-0.409,1.916
25,0.249,0.0,0.658,-0.409,1.815
26,0.048,0.0,0.457,-0.409,1.714
27,0.048,0.0,0.457,-0.409,1.644
28,0.048,0.0,0.457,-0.409,1.574
29,0.048,0.0,0.457,-0.409,1.504
30,0.048,0.0,0.457,-0.409,1.434
31,0.249,0.0,0.658,-0.409,1.364
32,0.249,0.0,0.658,-0.409,1.263
33,0.048,0.0,0.457,-0.409,1.162
34,0.048,0.0,0.457,-0.409,1.092
35,0.048,0.0,0.457,-0.409,1.022
36,0.048,0.0,0.457,-0.409,0.952
37,0.048,0.0,0.457,-0.409,0.882
38,0.048,0.0,0.457,-0.409,0.812
39,0.048,0.1,0.357,-0.409,0.742
40,0.249,0.1,0.558,-0.409,0.687
41,0.249,0.1,0.558,-0.409,0.602
42,0.048,0.1,0.357,-0.409,0.516
43,0.048,0.1,0.357,-0.409,0.461
44,0.048,0.1,0.357,-0.409,0.407
45,0.048,0.3,0.157,-0.409,0.352
46,0.048,0.3,0.157,-0.409,0.328
47,0.249,0.3,0.358,-0.409,0.304
48,0.294,0.3,0.403,-0.409,0.249
49,0.168,0.3,0.277,-0.409,0.187
50,0.28800000000000003,0.3,0.397,-0.409,0.145
51,0.228,0.6,0.037,-0.409,0.084
52,0.268,0.6,0.077,-0.409,0.078
53,0.228,0.6,0.037,-0.409,0.066
54,0.419,0.6,0.228,-0.409,0.061
55,0.359,0.6,0.168,-0.409,0.026
56,0.048,0.6,-0.101,-0.451,0.0
57,0.048,1.0,-0.501,-0.451,0.015
58,0.175,1.0,-0.374,-0.451,0.092
59,0.235,1.0,-0.314,-0.451,0.15
60,0.048,1.0,-0.501,-0.451,0.198
61,0.048,1.0,-0.501,-0.451,0.275
62,0.048,1.0,-0.501,-0.451,0.351
63,0.048,1.6,-1.101,-0.451,0.428
64,0.048,1.6,-1.101,-0.451,0.597
65,0.048,1.6,-1.101,-0.451,0.766
66,0.048,1.6,-1.101,-0.451,0.934
67,0.048,1.6,-1.101,-0.451,1.103
68,0.048,1.6,-1.101,-0.451,1.272
69,0.249,2.0,-1.3,-0.451,1.441
70,0.249,2.0,-1.3,-0.451,1.64
71,0.048,2.0,-1.501,-0.451,1.839
72,0.048,2.0,-1.501,-0.451,2.07
73,0.048,2.0,-1.501,-0.451,2.3
74,0.048,2.0,-1.501,-0.451,2.53
75,0.048,2.2,-1.701,-0.451,2.76
76,0.249,2.2,-1.5,-0.451,3.021
77,0.249,2.2,-1.5,-0.451,3.251
78,0.048,2.2,-1.701,-0.451,3.481
79,0.048,2.2,-1.701,-0.451,3.742
80,0.048,2.2,-1.701,-0.451,4.002
81,0.048,2.0,-1.501,-0.451,4.263
82,0.249,2.0,-1.3,-0.451,4.493
83,0.249,2.0,-1.3,-0.451,4.693
84,0.249,2.0,-1.3,-0.451,4.892
85,0.048,2.0,-1.501,-0.451,5.091
86,0.048,2.0,-1.501,-0.451,5.321
87,0.048,1.8,-1.301,-0.451,5.551
88,0.048,1.8,-1.301,-0.451,5.751
89,0.048,1.8,-1.301,-0.451,5.95
90,0.048,1.8,-1.301,-0.451,6.15
91,0.048,1.8,-1.301,-0.451,6.349
92,0.249,1.8,-1.1,-0.451,6.549
93,0.249,1.4,-0.7,-0.451,6.717
94,0.048,1.4,-0.901,-0.451,6.825
95,0.048,1.4,-0.901,-0.451,6.963
96,0.048,1.4,-0.901,-0.451,7.101
97,0.057999999999999996,1.4,-0.891,-0.451,7.239
98,0.057999999999999996,1.4,-0.891,-0.451,7.376
99,0.318,1.0,-0.231,-0.451,7.512
100,0.534,1.0,-0.015,-0.451,7.548
101,0.434,1.0,-0.115,-0.451,7.55
102,0.282,1.0,-0.267,-0.451,7.568
103,0.233,1.0,-0.316,-0.451,7.609
104,0.268,1.0,-0.281,-0.451,7.657
105,0.275,0.4,0.133,-0.258,7.7
106,0.255,0.4,0.113,-0.258,7.68
107,0.31,0.4,0.168,-0.258,7.662
108,0.604,0.4,0.462,-0.258,7.636
109,0.235,0.4,0.093,-0.258,7.566
110,0.215,0.4,0.073,-0.258,7.551
111,0.14,0.1,0.298,-0.258,7.54
112,0.28,0.1,0.438,-0.258,7.494
113,0.521,0.1,0.679,-0.258,7.427
114,0.5489999999999999,0.1,0.707,-0.258,7.323
115,0.308,0.1,0.466,-0.258,7.215
116,0.308,0.1,0.466,-0.258,7.143
117,0.248,0.0,0.506,-0.258,7.072
118,0.248,0.0,0.506,-0.258,6.994
119,0.138,0.0,0.396,-0.258,6.916
120,0.17800000000000002,0.0,0.436,-0.258,6.856
121,0.539,0.0,0.797,-0.258,6.789
122,0.514,0.0,0.772,-0.258,6.666
123,0.313,0.0,0.571,-0.258,6.548
124,0.313,0.0,0.571,-0.258,6.461
125,0.44,0.0,0.698,-0.258,6.373
126,0.43,0.0,0.688,-0.258,6.266
127,0.7909999999999999,0.0,1.049,-0.258,6.16
128,2.735,0.0,2.993,-0.258,5.999
129,0.736,0.0,0.994,-0.258,5.541
130,0.575,0.0,0.833,-0.258,5.388
131,0.595,0.0,0.853,-0.258,5.26
132,0.71,0.0,0.968,-0.258,5.129
133,0.605,0.0,0.863,-0.258,4.981
134,0.54,0.0,0.798,-0.258,4.849
135,0.6809999999999999,0.0,0.939,-0.258,4.726
136,0.6609999999999999,0.0,0.919,-0.258,4.582
137,0.46,0.0,0.718,-0.258,4.441
138,0.46,0.0,0.718,-0.258,4.331
139,0.535,0.0,0.793,-0.258,4.221
140,0.595,0.0,0.853,-0.258,4.099
141,0.616,0.0,0.874,-0.258,3.969
142,0.249,0.0,0.507,-0.258,3.835
143,0.249,0.0,0.608,-0.359,3.757
