,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.043,0.0,-0.142,0.185,3.872
1,0.043,0.0,-0.004,0.047,3.894
2,0.043,0.0,-0.004,0.047,3.894
3,0.213,0.0,0.166,0.047,3.895
4,0.213,0.0,0.166,0.047,3.869
5,0.043,0.0,-0.004,0.047,3.844
6,0.201,0.0,0.154,0.047,3.844
7,0.387,0.0,0.34,0.047,3.821
8,0.22899999999999998,0.0,0.182,0.047,3.768
9,0.043,0.0,-0.004,0.047,3.74
10,0.043,0.0,-0.004,0.047,3.741
11,0.213,0.0,0.166,0.047,3.742
12,0.043,0.0,-0.004,0.047,3.716
13,0.043,0.0,-0.004,0.047,3.717
14,0.043,0.0,-0.004,0.047,3.717
15,0.201,0.0,0.154,0.047,3.718
16,0.387,0.0,0.34,0.047,3.694
17,0.22899999999999998,0.0,0.182,0.047,3.642
18,0.22899999999999998,0.0,0.182,0.047,3.614
19,0.213,0.0,0.166,0.047,3.586
20,0.043,0.0,-0.004,0.047,3.56
21,0.043,0.0,-0.004,0.047,3.561
22,0.043,0.0,-0.004,0.047,3.562
23,0.043,0.0,-0.004,0.047,3.562
24,0.22899999999999998,0.0,0.182,0.047,3.563
25,0.22899999999999998,0.0,0.182,0.047,3.535
26,0.39899999999999997,0.0,0.352,0.047,3.507
27,0.213,0.0,0.166,0.047,3.453
28,0.201,0.0,0.154,0.047,3.427
29,0.201,0.0,0.154,0.047,3.404
30,0.043,0.0,-0.004,0.047,3.38
31,0.043,0.0,-0.004,0.047,3.38
32,0.043,0.0,-0.004,0.047,3.381
33,0.043,0.0,-0.004,0.047,3.382
34,0.39899999999999997,0.0,0.352,0.047,3.382
35,0.387,0.0,0.34,0.047,3.328
36,0.201,0.0,0.154,0.047,3.276
37,0.043,0.0,-0.004,0.047,3.252
38,0.043,0.0,-0.004,0.047,3.253
39,0.14800000000000002,0.1,0.001,0.047,3.253
40,2.931,0.1,2.784,0.047,3.253
41,3.057,0.1,2.91,0.047,2.826
42,0.48100000000000004,0.1,0.334,0.047,2.38
43,0.537,0.1,0.39,0.047,2.329
44,0.379,0.1,0.232,0.047,2.269
45,0.46,0.3,0.113,0.047,2.233
46,0.29100000000000004,0.3,-0.056,0.047,2.216
47,3.285,0.3,2.938,0.047,2.224
