,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.053,0.0,0.564,-0.511,3.764
1,0.053,0.0,0.018,0.035,3.677
2,0.053,0.0,0.018,0.035,3.674
3,0.053,0.0,0.018,0.035,3.672
4,0.053,0.0,0.018,0.035,3.669
5,0.217,0.0,0.182,0.035,3.666
6,0.217,0.0,0.182,0.035,3.638
7,0.217,0.0,0.182,0.035,3.611
8,0.053,0.0,0.018,0.035,3.583
9,0.053,0.0,0.018,0.035,3.58
10,0.053,0.0,0.018,0.035,3.577
11,0.053,0.0,0.018,0.035,3.575
12,0.217,0.0,0.182,0.035,3.572
13,0.217,0.0,0.182,0.035,3.544
14,0.053,0.0,0.018,0.035,3.516
15,0.053,0.0,0.018,0.035,3.514
16,0.053,0.0,0.018,0.035,3.511
17,0.053,0.0,0.018,0.035,3.508
18,0.053,0.0,0.018,0.035,3.505
19,0.053,0.0,0.018,0.035,3.503
20,0.217,0.0,0.182,0.035,3.5
21,0.217,0.0,0.182,0.035,3.472
22,0.053,0.0,0.018,0.035,3.444
23,0.053,0.0,0.018,0.035,3.442
24,0.053,0.0,0.018,0.035,3.439
25,0.053,0.0,0.018,0.035,3.436
26,0.053,0.0,0.018,0.035,3.434
27,0.053,0.0,0.018,0.035,3.431
28,0.217,0.0,0.182,0.035,3.428
29,0.217,0.0,0.182,0.035,3.4
30,0.053,0.0,0.018,0.035,3.372
31,0.053,0.0,0.018,0.035,3.37
32,0.053,0.0,0.018,0.035,3.367
33,0.053,0.0,0.018,0.035,3.364
34,0.053,0.0,0.018,0.035,3.362
35,0.053,0.0,0.018,0.035,3.359
36,0.053,0.0,0.018,0.035,3.356
37,0.217,0.0,0.182,0.035,3.353
38,0.217,0.0,0.182,0.035,3.326
39,0.217,0.1,0.082,0.035,3.298
40,0.053,0.1,-0.082,0.035,3.285
41,0.053,0.1,-0.082,0.035,3.298
42,0.053,0.1,-0.082,0.035,3.311
43,0.053,0.1,-0.082,0.035,3.323
44,0.217,0.1,0.082,0.035,3.336
45,0.27699999999999997,0.3,-0.058,0.035,3.323
46,0.337,0.3,0.002,0.035,3.332
47,0.293,0.3,-0.042,0.035,3.332
48,0.353,0.3,0.018,0.035,3.338
49,0.363,0.3,0.028,0.035,3.336
50,0.423,0.3,0.088,0.035,3.331
51,0.423,0.6,-0.212,0.035,3.318
52,0.38299999999999995,0.6,-0.252,0.035,3.351
53,0.547,0.6,-0.088,0.035,3.389
54,0.48700000000000004,0.6,-0.148,0.035,3.403
55,0.263,0.6,-0.372,0.035,3.426
56,0.17300000000000001,0.6,-0.462,0.035,3.483
57,0.113,1.0,-0.922,0.035,3.554
58,0.349,1.0,-0.686,0.035,3.695
59,0.299,1.0,-0.736,0.035,3.8
60,0.46299999999999997,1.0,-0.572,0.035,3.913
61,0.46299999999999997,1.0,-0.572,0.035,4.001
62,0.239,1.0,-0.796,0.035,4.089
63,0.239,1.6,-1.396,0.035,4.211
64,3.05,1.6,1.415,0.035,4.425
65,2.99,1.6,1.355,0.035,4.208
66,0.34299999999999997,1.6,-1.292,0.035,4.0
67,0.34299999999999997,1.6,-1.292,0.035,4.198
68,0.355,1.6,-1.28,0.035,4.397
69,0.191,2.0,-1.844,0.035,4.593
70,0.191,2.0,-1.844,0.035,4.876
71,2.9419999999999997,2.0,0.907,0.035,5.159
72,3.0780000000000003,2.0,1.043,0.035,5.02
73,0.217,2.0,-1.818,0.035,4.86
74,0.217,2.0,-1.818,0.035,5.138
75,0.053,2.2,-2.182,0.035,5.417
76,0.053,2.2,-2.182,0.035,5.752
77,0.053,2.2,-2.182,0.035,6.087
78,0.053,2.2,-2.182,0.035,6.421
79,0.053,2.2,-2.182,0.035,6.756
80,0.053,2.2,-2.182,0.035,7.09
81,3.0780000000000003,2.0,1.043,0.035,7.425
82,3.0780000000000003,2.0,1.043,0.035,7.265
83,0.327,2.0,-1.708,0.035,7.105
84,0.315,2.0,-1.72,0.035,7.367
85,3.29,2.0,1.255,0.035,7.631
86,12.209000000000001,2.0,3.0,7.209,7.439
87,0.249,1.8,-1.586,0.035,6.979
88,0.18899999999999997,1.8,-1.646,0.035,7.222
89,0.364,1.8,-1.471,0.035,7.474
90,2.369,1.8,0.484,0.085,7.7
91,3.115,1.8,1.23,0.085,7.626
92,3.125,1.8,1.24,0.085,7.437
93,0.366,1.4,-1.119,0.085,7.247
94,0.326,1.4,-1.159,0.085,7.419
95,3.077,1.4,1.592,0.085,7.596
96,3.2489999999999997,1.4,1.764,0.085,7.352
97,0.5379999999999999,1.4,-0.947,0.085,7.082
98,0.314,1.4,-1.171,0.085,7.227
99,0.414,1.0,-0.671,0.085,7.407
100,1.686,1.0,0.601,0.085,7.509
101,0.488,1.0,-0.597,0.085,7.417
102,0.71,1.0,-0.375,0.085,7.509
103,0.649,1.0,-0.436,0.085,7.566
104,0.649,1.0,-0.436,0.085,7.633
105,0.649,0.4,0.138,0.111,7.7
106,0.425,0.4,-0.086,0.111,7.679
107,0.485,0.4,-0.026,0.111,7.692
108,0.485,0.4,-0.026,0.111,7.696
109,3.236,0.4,2.255,0.581,7.7
110,3.264,0.4,2.283,0.581,7.354
111,0.573,0.1,-0.108,0.581,7.004
112,0.526,0.1,-0.155,0.581,7.021
113,0.42200000000000004,0.1,-0.259,0.581,7.045
114,0.312,0.1,-0.369,0.581,7.085
115,0.312,0.1,-0.369,0.581,7.141
116,0.344,0.1,-0.337,0.581,7.198
117,0.37200000000000005,0.0,-0.209,0.581,7.25
118,3.2739999999999996,0.0,2.693,0.581,7.282
119,3.2260000000000004,0.0,2.645,0.581,6.869
120,0.311,0.0,-0.27,0.581,6.463
121,0.257,0.0,-0.324,0.581,6.505
122,0.457,0.0,-0.124,0.581,6.555
123,0.405,0.0,-0.176,0.581,6.574
124,3.102,0.0,2.521,0.581,6.601
125,3.514,0.0,2.933,0.581,6.214
126,0.7509999999999999,0.0,0.17,0.581,5.765
127,0.903,0.0,0.322,0.581,5.739
128,0.843,0.0,0.262,0.581,5.689
129,0.753,0.0,0.172,0.581,5.649
130,0.593,0.0,0.012,0.581,5.623
131,0.68,0.0,0.099,0.581,5.621
132,3.409,0.0,2.828,0.581,5.606
133,3.3560000000000003,0.0,2.775,0.581,5.172
134,0.379,0.0,-0.202,0.581,4.747
135,0.507,0.0,-0.074,0.581,4.778
136,3.378,0.0,2.797,0.581,4.789
137,3.4410000000000003,0.0,2.86,0.581,4.361
138,0.763,0.0,0.182,0.581,3.922
139,0.825,0.0,0.244,0.581,3.894
140,0.9490000000000001,0.0,0.368,0.581,3.857
141,0.8340000000000001,0.0,0.253,0.581,3.801
142,0.57,0.0,-0.011,0.581,3.762
143,0.67,0.0,0.564,0.106,3.764
