,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.055,0.0,0.371,-0.316,3.793
1,0.055,0.0,0.335,-0.28,3.736
2,0.055,0.0,0.343,-0.288,3.685
3,0.055,0.0,0.377,-0.322,3.632
4,0.055,0.0,0.375,-0.32,3.574
5,0.14400000000000002,0.0,0.383,-0.239,3.517
6,0.14400000000000002,0.0,0.369,-0.225,3.458
7,0.055,0.0,0.354,-0.299,3.402
8,0.055,0.0,0.388,-0.333,3.347
9,0.055,0.0,0.38,-0.325,3.288
10,0.196,0.0,0.364,-0.168,3.23
11,0.196,0.0,0.36,-0.164,3.174
12,0.055,0.0,0.34,-0.285,3.119
13,0.055,0.0,0.35,-0.295,3.066
14,0.055,0.0,0.366,-0.311,3.013
15,0.055,0.0,0.393,-0.338,2.957
16,0.055,0.0,0.382,-0.327,2.896
17,0.055,0.0,0.362,-0.307,2.838
18,0.055,0.0,0.389,-0.334,2.782
19,0.14400000000000002,0.0,0.376,-0.232,2.723
20,0.055,0.0,0.355,-0.3,2.665
21,0.196,0.0,0.457,-0.261,2.611
22,0.196,0.0,0.461,-0.265,2.541
23,0.055,0.0,0.376,-0.321,2.47
24,0.055,0.0,0.401,-0.346,2.412
25,0.14400000000000002,0.0,0.406,-0.262,2.351
26,0.14400000000000002,0.0,0.371,-0.227,2.289
27,0.055,0.0,0.35,-0.295,2.232
28,0.196,0.0,0.37,-0.174,2.178
29,0.196,0.0,0.371,-0.175,2.121
30,0.055,0.0,0.372,-0.317,2.064
31,0.055,0.0,0.37,-0.315,2.007
32,0.055,0.0,0.371,-0.316,1.951
33,0.055,0.0,0.379,-0.324,1.894
34,0.055,0.0,0.406,-0.351,1.836
35,0.055,0.0,0.404,-0.349,1.773
36,0.285,0.0,0.387,-0.102,1.711
37,0.285,0.0,0.382,-0.097,1.652
38,0.055,0.0,0.37,-0.315,1.593
39,0.055,0.1,0.293,-0.338,1.537
40,0.055,0.1,0.4,-0.445,1.492
41,0.055,0.1,0.631,-0.676,1.43
42,0.055,0.1,0.55,-0.595,1.334
43,0.14400000000000002,0.1,0.641,-0.597,1.249
44,0.14400000000000002,0.1,0.622,-0.578,1.151
45,0.196,0.3,0.29,-0.394,1.056
46,0.196,0.3,0.343,-0.447,1.011
47,0.055,0.3,0.378,-0.623,0.958
48,0.055,0.3,0.506,-0.751,0.901
49,0.14400000000000002,0.3,0.452,-0.608,0.823
50,0.055,0.3,0.429,-0.674,0.754
51,0.055,0.6,0.32,-0.865,0.688
52,0.067,0.6,0.092,-0.625,0.639
53,0.067,0.6,0.11,-0.643,0.625
54,0.067,0.6,0.074,-0.607,0.608
55,0.20800000000000002,0.6,0.03,-0.422,0.597
56,0.20800000000000002,0.6,0.174,-0.566,0.592
57,0.156,1.0,-0.09,-0.754,0.565
58,0.055,1.0,-0.361,-0.584,0.579
59,0.055,1.0,-0.161,-0.784,0.635
60,0.355,1.0,-0.211,-0.434,0.659
61,0.067,1.0,-0.268,-0.665,0.692
62,0.067,1.0,-0.23,-0.703,0.733
63,0.268,1.6,-0.761,-0.571,0.768
64,0.35700000000000004,1.6,-1.079,-0.164,0.885
65,0.21600000000000003,1.6,-1.089,-0.295,1.05
66,0.055,1.6,-1.074,-0.471,1.217
67,0.055,1.6,-1.107,-0.438,1.382
68,0.067,1.6,-0.997,-0.536,1.551
69,0.196,2.0,-1.401,-0.403,1.704
70,0.196,2.0,-1.321,-0.483,1.919
71,0.055,2.0,-1.192,-0.753,2.122
72,0.055,2.0,-1.153,-0.792,2.304
73,0.055,2.0,-1.195,-0.75,2.481
74,0.055,2.0,-1.181,-0.764,2.664
75,0.055,2.2,-1.605,-0.54,2.846
76,0.196,2.2,-1.757,-0.247,3.092
77,0.196,2.2,-1.688,-0.316,3.361
78,0.055,2.2,-1.815,-0.33,3.62
79,0.14400000000000002,2.2,-1.701,-0.355,3.898
80,0.14400000000000002,2.2,-1.475,-0.581,4.159
81,0.055,2.0,-1.6,-0.345,4.385
82,0.055,2.0,-1.422,-0.523,4.63
83,0.055,2.0,-1.492,-0.453,4.849
84,0.196,2.0,-1.393,-0.411,5.077
85,0.285,2.0,-1.445,-0.27,5.291
86,0.14400000000000002,2.0,-1.441,-0.415,5.512
87,0.055,1.8,-1.207,-0.538,5.733
88,0.055,1.8,-1.375,-0.37,5.919
89,0.055,1.8,-1.289,-0.456,6.129
90,0.055,1.8,-0.999,-0.746,6.327
91,0.196,1.8,-1.102,-0.502,6.48
92,0.196,1.8,-1.178,-0.426,6.649
93,0.14400000000000002,1.4,-0.853,-0.403,6.83
94,0.14400000000000002,1.4,-0.645,-0.611,6.96
95,0.055,1.4,-0.699,-0.646,7.059
96,0.055,1.4,-0.762,-0.583,7.167
97,0.055,1.4,-0.807,-0.538,7.283
98,0.055,1.4,-0.658,-0.687,7.407
99,0.107,1.0,-0.052,-0.841,7.508
100,0.401,1.0,-0.017,-0.582,7.516
101,0.465,1.0,-0.346,-0.189,7.519
102,0.436,1.0,-0.273,-0.291,7.572
103,0.426,1.0,-0.262,-0.312,7.614
104,0.414,1.0,-0.301,-0.285,7.654
105,0.595,0.4,0.314,-0.119,7.7
106,0.685,0.4,0.271,0.014,7.652
107,0.7390000000000001,0.4,0.374,-0.035,7.61
108,0.768,0.4,0.537,-0.169,7.553
109,0.868,0.4,0.422,0.046,7.471
110,0.757,0.4,0.465,-0.108,7.406
111,0.742,0.1,0.749,-0.107,7.335
112,0.735,0.1,0.835,-0.2,7.22
113,0.7559999999999999,0.1,0.921,-0.265,7.092
114,0.655,0.1,0.801,-0.246,6.951
115,0.484,0.1,0.661,-0.277,6.828
116,0.284,0.1,0.776,-0.592,6.726
117,0.45399999999999996,0.0,0.768,-0.314,6.607
118,0.713,0.0,0.718,-0.005,6.49
119,0.513,0.0,0.712,-0.199,6.38
120,0.415,0.0,0.82,-0.405,6.27
121,0.633,0.0,0.727,-0.094,6.145
122,0.884,0.0,0.782,0.102,6.033
123,0.6659999999999999,0.0,0.751,-0.085,5.913
124,0.626,0.0,0.671,-0.045,5.798
125,2.53,0.0,0.771,1.759,5.695
126,0.613,0.0,0.645,-0.032,5.577
127,0.653,0.0,0.827,-0.174,5.478
128,0.772,0.0,0.993,-0.221,5.352
129,0.7979999999999999,0.0,0.752,0.046,5.199
130,0.757,0.0,0.819,-0.062,5.084
131,0.055,0.0,0.884,-0.829,4.958
132,0.055,0.0,0.783,-0.728,4.823
133,0.226,0.0,0.776,-0.55,4.703
134,0.266,0.0,0.627,-0.361,4.584
135,0.7170000000000001,0.0,0.659,0.058,4.487
136,0.727,0.0,0.676,0.051,4.386
137,0.847,0.0,0.697,0.15,4.283
138,0.785,0.0,0.525,0.26,4.176
139,0.8640000000000001,0.0,0.516,0.348,4.095
140,0.055,0.0,0.44,-0.385,4.016
141,0.055,0.0,0.501,-0.446,3.949
142,0.055,0.0,0.514,-0.459,3.872
143,0.055,0.0,0.371,-0.316,3.793
