,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.044000000000000004,0.0,0.371,-0.327,3.793
1,0.044000000000000004,0.0,0.335,-0.291,3.736
2,0.044000000000000004,0.0,0.343,-0.299,3.685
3,0.044000000000000004,0.0,0.377,-0.333,3.632
4,0.044000000000000004,0.0,0.375,-0.331,3.574
5,0.198,0.0,0.383,-0.185,3.517
6,0.198,0.0,0.369,-0.171,3.458
7,0.044000000000000004,0.0,0.354,-0.31,3.402
8,0.044000000000000004,0.0,0.388,-0.344,3.347
9,0.39299999999999996,0.0,0.38,0.013,3.288
10,0.244,0.0,0.364,-0.12,3.23
11,0.141,0.0,0.36,-0.219,3.174
12,0.141,0.0,0.34,-0.199,3.119
13,0.044000000000000004,0.0,0.35,-0.306,3.066
14,0.044000000000000004,0.0,0.366,-0.322,3.013
15,0.198,0.0,0.393,-0.195,2.957
16,0.198,0.0,0.382,-0.184,2.896
17,0.39299999999999996,0.0,0.362,0.031,2.838
18,0.39299999999999996,0.0,0.389,0.004,2.782
19,0.044000000000000004,0.0,0.376,-0.332,2.723
20,0.044000000000000004,0.0,0.355,-0.311,2.665
21,0.044000000000000004,0.0,0.457,-0.413,2.611
22,0.141,0.0,0.461,-0.32,2.541
23,0.295,0.0,0.376,-0.081,2.47
24,0.39799999999999996,0.0,0.401,-0.003,2.412
25,0.39299999999999996,0.0,0.406,-0.013,2.351
26,0.244,0.0,0.371,-0.127,2.289
27,0.044000000000000004,0.0,0.35,-0.306,2.232
28,0.044000000000000004,0.0,0.37,-0.326,2.178
29,0.198,0.0,0.371,-0.173,2.121
30,0.295,0.0,0.372,-0.077,2.064
31,0.044000000000000004,0.0,0.37,-0.326,2.007
32,0.044000000000000004,0.0,0.371,-0.327,1.951
33,0.39299999999999996,0.0,0.379,0.014,1.894
34,0.39299999999999996,0.0,0.406,-0.013,1.836
35,0.044000000000000004,0.0,0.404,-0.36,1.773
36,0.141,0.0,0.387,-0.246,1.711
37,0.141,0.0,0.382,-0.241,1.652
38,0.198,0.0,0.37,-0.172,1.593
39,0.198,0.1,0.293,-0.195,1.537
40,0.044000000000000004,0.1,0.4,-0.456,1.492
41,0.193,0.1,0.631,-0.538,1.43
42,0.044000000000000004,0.1,0.55,-0.606,1.334
43,0.044000000000000004,0.1,0.641,-0.697,1.249
44,0.244,0.1,0.622,-0.478,1.151
45,0.341,0.3,0.29,-0.249,1.056
46,0.198,0.3,0.343,-0.445,1.011
47,0.198,0.3,0.378,-0.48,0.958
48,0.193,0.3,0.506,-0.613,0.901
49,0.193,0.3,0.452,-0.559,0.823
50,0.141,0.3,0.429,-0.588,0.754
51,0.141,0.6,0.32,-0.779,0.688
