,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.001,-0.32,0.369,3.899
1,0.22699999999999998,0.001,-0.297,0.525,3.948
2,0.22699999999999998,0.001,-0.289,0.517,3.994
3,0.231,0.001,-0.232,0.464,4.038
4,0.048,0.001,-0.221,0.27,4.074
5,0.166,0.001,-0.237,0.404,4.108
6,0.166,0.001,-0.277,0.444,4.144
7,0.048,0.001,-0.298,0.347,4.186
8,0.22699999999999998,0.0,-0.256,0.483,4.232
9,0.22699999999999998,0.001,-0.258,0.486,4.271
10,0.22699999999999998,0.001,-0.292,0.52,4.311
11,0.231,0.001,-0.284,0.516,4.356
12,0.166,0.001,-0.309,0.476,4.399
13,0.048,0.001,-0.322,0.371,4.447
14,0.048,0.001,-0.296,0.345,4.496
15,0.048,0.001,-0.282,0.331,4.541
16,0.048,0.001,-0.293,0.342,4.585
17,0.048,0.001,-0.279,0.328,4.63
18,0.231,0.001,-0.229,0.461,4.672
19,0.048,0.001,-0.266,0.315,4.707
20,0.166,0.001,-0.295,0.462,4.748
21,0.345,0.0,-0.298,0.643,4.793
22,0.22699999999999998,0.001,-0.296,0.524,4.839
23,0.048,0.001,-0.317,0.366,4.885
24,0.048,0.001,-0.251,0.3,4.933
25,0.231,0.001,-0.22,0.452,4.972
26,0.048,0.001,-0.277,0.326,5.006
27,0.166,0.001,-0.285,0.452,5.048
28,0.166,0.001,-0.293,0.46,5.092
29,0.048,0.001,-0.31,0.359,5.137
30,0.22699999999999998,0.001,-0.311,0.539,5.184
31,0.22699999999999998,0.0,-0.302,0.529,5.232
32,0.048,0.001,-0.286,0.335,5.278
33,0.166,0.001,-0.271,0.438,5.322
34,0.349,0.001,-0.255,0.605,5.364
35,0.048,0.001,-0.267,0.316,5.403
36,0.048,0.0,-0.276,0.324,5.444
37,0.22699999999999998,0.001,-0.316,0.544,5.486
38,0.22699999999999998,0.001,-0.321,0.549,5.534
39,0.048,0.001,-0.246,0.295,5.584
40,0.048,0.001,-0.086,0.135,5.621
41,0.231,0.0,-0.072,0.303,5.635
42,0.166,0.001,-0.174,0.341,5.646
43,0.166,0.001,0.005,0.162,5.673
44,0.22699999999999998,0.001,0.263,-0.035,5.672
45,0.22699999999999998,0.001,0.023,0.205,5.631
46,0.22699999999999998,0.0,0.02,0.207,5.628
47,0.048,0.001,0.102,-0.053,5.625
48,0.349,0.001,0.306,0.044,5.609
49,0.349,0.001,0.115,0.235,5.562
50,0.048,0.001,0.055,-0.006,5.545
51,0.048,0.0,0.123,-0.075,5.536
52,0.048,0.001,0.02,0.029,5.518
53,0.22699999999999998,0.001,0.05,0.178,5.515
54,0.22699999999999998,0.001,0.039,0.189,5.507
55,0.048,0.001,-0.062,0.111,5.501
56,0.048,0.001,0.1,-0.051,5.51
57,0.231,0.0,0.334,-0.103,5.495
58,0.048,0.001,0.051,-0.002,5.444
59,0.166,0.001,0.243,-0.076,5.436
60,0.17600000000000002,0.001,0.17,0.007,5.399
61,0.057999999999999996,0.001,0.21,-0.151,5.373
62,0.25,0.0,0.145,0.105,5.341
63,0.25,0.001,0.239,0.012,5.318
64,0.071,0.001,-0.134,0.206,5.282
65,0.166,0.001,-0.195,0.362,5.302
66,0.166,0.001,-0.15,0.317,5.332
67,0.231,0.0,-0.051,0.282,5.355
68,0.19399999999999998,0.001,0.093,0.102,5.363
69,0.373,0.001,0.06,0.314,5.349
70,2.8489999999999998,0.001,0.075,2.775,5.34
71,2.647,0.001,0.033,2.615,5.328
72,2.537,0.001,0.105,2.433,5.323
73,2.537,0.0,0.191,2.346,5.307
74,2.838,0.001,0.146,2.693,5.278
75,2.665,0.001,0.143,2.523,5.255
76,0.071,0.001,-0.227,0.299,5.233
77,0.171,0.001,-0.25,0.422,5.268
78,0.237,0.0,-0.288,0.525,5.307
79,0.265,0.218,-0.263,0.746,5.351
80,0.086,0.616,-0.259,0.961,5.391
81,0.086,0.073,-0.27,0.429,5.431
82,0.076,0.001,-0.247,0.324,5.472
83,0.259,0.001,-0.223,0.483,5.51
84,2.077,0.001,-0.099,2.177,5.544
85,0.086,0.243,-0.198,0.527,5.559
86,0.20600000000000002,0.616,-0.165,0.987,5.59
87,0.29600000000000004,0.615,-0.093,1.004,5.615
88,0.29600000000000004,0.615,-0.215,1.126,5.629
89,0.35700000000000004,0.614,-0.044,1.015,5.662
90,0.54,0.614,0.154,1.0,5.669
91,0.53,0.614,0.152,0.992,5.645
92,0.155,0.613,-0.138,0.906,5.622
93,0.048,0.614,-0.164,0.826,5.643
94,0.048,0.613,0.168,0.493,5.668
95,0.048,0.614,0.217,0.445,5.643
96,0.14800000000000002,0.613,0.156,0.605,5.609
97,0.35100000000000003,0.613,0.158,0.806,5.586
98,0.55,0.59,0.269,0.871,5.561
99,0.525,0.001,0.412,0.114,5.52
100,0.28600000000000003,0.001,0.382,-0.095,5.457
101,0.28800000000000003,0.0,0.15,0.138,5.398
102,0.21,0.001,0.263,-0.052,5.375
103,0.39299999999999996,0.001,0.336,0.058,5.335
104,0.424,0.001,0.239,0.186,5.283
105,0.607,0.42,0.35,0.677,5.247
106,0.6859999999999999,0.616,0.283,1.019,5.193
107,0.893,0.615,0.304,1.204,5.15
108,0.33799999999999997,0.615,0.429,0.524,5.103
109,0.373,0.614,0.469,0.518,5.037
110,0.17800000000000002,0.613,0.405,0.386,4.965
111,0.278,0.613,0.396,0.495,4.903
112,0.17800000000000002,0.614,0.392,0.4,4.842
113,4.957,0.613,0.415,5.155,4.782
114,4.897,0.613,0.378,5.132,4.719
115,2.7439999999999998,0.613,0.287,3.07,4.661
116,0.048,0.612,0.268,0.392,4.617
117,0.048,0.598,0.17,0.476,4.576
118,0.048,0.315,0.117,0.246,4.55
119,0.048,0.0,0.103,-0.055,4.532
120,0.048,0.001,0.188,-0.139,4.516
121,0.166,0.001,0.238,-0.071,4.487
122,0.528,0.001,0.338,0.191,4.451
123,0.22699999999999998,0.001,0.287,-0.059,4.399
124,0.048,0.001,0.108,-0.059,4.355
125,0.048,0.001,0.195,-0.146,4.338
126,0.048,0.001,0.079,-0.03,4.308
127,0.166,0.001,0.249,-0.082,4.296
128,0.166,0.001,0.419,-0.252,4.258
129,0.048,0.001,0.186,-0.137,4.194
130,0.22699999999999998,0.001,0.187,0.041,4.165
131,0.36,0.001,0.254,0.107,4.137
132,0.56,0.0,0.395,0.165,4.098
133,0.7490000000000001,0.001,0.353,0.397,4.037
134,0.44799999999999995,0.001,0.173,0.276,3.983
135,0.428,0.001,0.198,0.231,3.957
136,0.048,0.001,0.218,-0.169,3.926
137,0.22699999999999998,0.001,0.142,0.086,3.893
138,0.22699999999999998,0.001,-0.029,0.257,3.871
139,0.166,0.001,-0.071,0.238,3.875
