,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.092,0.0,0.001,0.449,-0.356,3.781
1,0.092,0.0,0.001,0.336,-0.243,3.712
2,0.174,0.0,0.0,0.346,-0.172,3.661
3,0.555,0.0,0.001,0.407,0.149,3.608
4,0.57,0.0,0.001,0.406,0.165,3.545
5,0.659,0.0,0.001,0.401,0.259,3.483
6,0.381,0.0,0.001,0.363,0.019,3.421
7,0.052000000000000005,0.0,0.0,0.334,-0.282,3.366
8,0.142,0.0,0.001,0.381,-0.238,3.315
9,0.142,0.0,0.001,0.379,-0.236,3.256
10,0.052000000000000005,0.0,0.001,0.34,-0.287,3.198
11,0.196,0.0,0.001,0.356,-0.159,3.146
12,0.36200000000000004,0.0,0.0,0.33,0.032,3.091
13,0.218,0.0,0.001,0.318,-0.099,3.041
14,0.305,0.0,0.001,0.337,-0.031,2.992
15,0.052000000000000005,0.0,0.001,0.357,-0.304,2.94
16,0.052000000000000005,0.0,0.001,0.351,-0.298,2.886
17,0.196,0.0,0.0,0.352,-0.156,2.832
18,0.196,0.0,0.001,0.398,-0.201,2.778
19,0.052000000000000005,0.0,0.001,0.373,-0.32,2.717
20,0.052000000000000005,0.0,0.001,0.342,-0.289,2.66
21,0.308,0.0,0.001,0.342,-0.033,2.607
22,0.47100000000000003,0.0,0.001,0.344,0.128,2.555
23,0.052000000000000005,0.0,0.0,0.329,-0.277,2.502
24,0.052000000000000005,0.0,0.001,0.382,-0.329,2.451
25,0.052000000000000005,0.0,0.001,0.411,-0.358,2.393
26,0.052000000000000005,0.0,0.001,0.369,-0.316,2.33
27,0.196,0.0,0.001,0.347,-0.15,2.273
28,0.196,0.0,0.0,0.348,-0.152,2.22
29,0.215,0.0,0.001,0.332,-0.116,2.167
30,0.218,0.0,0.001,0.335,-0.116,2.116
31,0.308,0.0,0.001,0.341,-0.032,2.065
32,0.142,0.0,0.001,0.351,-0.208,2.012
33,0.052000000000000005,0.0,0.0,0.369,-0.317,1.959
34,0.196,0.0,0.001,0.384,-0.187,1.902
35,0.196,0.0,0.001,0.372,-0.175,1.843
36,0.052000000000000005,0.0,0.001,0.368,-0.315,1.786
37,0.47100000000000003,0.0,0.001,0.331,0.141,1.73
38,0.308,0.0,0.0,0.324,-0.016,1.679
39,0.052000000000000005,0.1,0.001,0.287,-0.334,1.629
40,0.196,0.1,0.001,0.43,-0.333,1.585
41,0.196,0.1,0.001,0.443,-0.346,1.519
42,0.052000000000000005,0.1,0.001,0.366,-0.413,1.451
43,0.052000000000000005,0.1,0.001,0.525,-0.572,1.395
44,0.218,0.1,0.0,0.769,-0.651,1.315
45,0.381,0.3,0.001,0.338,-0.256,1.197
46,0.215,0.3,0.001,0.331,-0.415,1.145
47,0.196,0.3,0.001,0.404,-0.507,1.094
48,0.196,0.3,0.001,0.604,-0.707,1.032
49,0.052000000000000005,0.3,0.0,0.428,-0.676,0.94
50,0.052000000000000005,0.3,0.001,0.378,-0.625,0.874
51,0.218,0.6,0.001,0.126,-0.507,0.816
52,0.218,0.6,0.001,0.022,-0.403,0.797
53,0.052000000000000005,0.6,0.001,0.054,-0.601,0.793
54,0.215,0.6,0.0,0.05,-0.435,0.785
55,0.215,0.6,0.001,-2.878,2.494,0.777
56,0.28600000000000003,0.6,0.001,0.105,-0.418,1.219
57,0.28600000000000003,1.0,0.001,2.793,-3.506,1.203
58,0.218,1.0,0.001,-0.354,-0.427,0.775
59,0.218,1.0,0.0,-0.172,-0.61,0.829
60,0.052000000000000005,1.0,0.001,-0.225,-0.722,0.855
61,0.052000000000000005,1.0,0.001,-0.187,-0.76,0.89
62,0.052000000000000005,1.0,0.001,-0.261,-0.686,0.918
63,0.052000000000000005,1.6,0.001,-0.781,-0.766,0.958
64,0.052000000000000005,1.6,0.0,-1.129,-0.419,1.078
65,0.052000000000000005,1.6,0.001,-1.043,-0.504,1.251
66,0.069,1.6,0.001,-1.001,-0.529,1.411
67,0.23199999999999998,1.6,0.001,-1.036,-0.331,1.565
68,0.542,1.6,0.001,-0.891,-0.166,1.723
69,0.379,2.0,0.0,-1.326,-0.295,1.86
70,0.43700000000000006,2.0,0.001,-1.326,-0.236,2.063
71,0.271,2.0,0.001,-1.227,-0.501,2.267
72,0.052000000000000005,2.0,0.001,-1.155,-0.792,2.455
73,0.052000000000000005,2.0,0.001,-1.212,-0.735,2.632
74,0.052000000000000005,2.0,0.0,-1.157,-0.791,2.818
75,0.215,2.2,0.001,-1.573,-0.411,2.995
76,0.381,2.2,0.001,-1.788,-0.03,3.236
77,0.308,2.2,0.001,-1.8,-0.091,3.511
78,0.052000000000000005,2.2,0.001,-1.843,-0.304,3.787
79,0.196,2.2,0.001,-1.684,-0.319,4.069
80,0.196,2.2,0.0,-1.685,-0.319,4.327
81,0.052000000000000005,2.0,0.001,-1.624,-0.323,4.586
82,0.052000000000000005,2.0,0.001,-1.357,-0.59,4.835
83,0.215,2.0,0.001,-1.455,-0.329,5.043
84,0.215,2.0,0.001,-1.471,-0.313,5.266
85,0.28600000000000003,2.0,0.0,-1.422,-0.292,5.492
86,0.452,2.0,0.001,-1.401,-0.146,5.71
87,0.218,1.8,0.001,-1.276,-0.305,5.924
88,0.052000000000000005,1.8,0.001,-1.385,-0.362,6.12
89,0.052000000000000005,1.8,0.001,-1.222,-0.525,6.332
90,0.215,1.8,0.0,-1.165,-0.42,6.52
91,0.215,1.8,0.001,-1.169,-0.415,6.698
92,0.142,1.8,0.001,-1.176,-0.481,6.877
93,0.142,1.4,0.001,-0.922,-0.335,7.058
94,0.052000000000000005,1.4,0.001,-0.621,-0.726,7.199
95,0.052000000000000005,1.4,0.0,-0.574,-0.774,7.294
96,0.36200000000000004,1.4,0.001,-0.629,-0.408,7.382
97,0.525,1.4,0.001,-0.631,-0.243,7.479
98,0.215,1.4,0.001,-0.534,-0.65,7.576
99,0.052000000000000005,1.0,0.001,0.106,-1.053,7.658
100,0.142,1.0,0.0,0.178,-1.036,7.641
101,0.142,1.0,0.001,-0.227,-0.63,7.614
102,0.052000000000000005,1.0,0.001,-0.124,-0.823,7.649
103,0.218,1.0,0.001,-0.063,-0.718,7.668
104,0.36200000000000004,1.0,0.001,-0.147,-0.49,7.678
105,0.359,0.4,0.0,0.436,-0.477,7.7
106,0.305,0.4,0.001,0.372,-0.466,7.633
107,0.282,0.4,0.001,0.525,-0.642,7.576
108,0.321,0.4,0.001,0.654,-0.732,7.496
109,0.507,0.4,0.001,0.553,-0.445,7.395
110,0.052000000000000005,0.4,0.0,0.581,-0.929,7.311
111,0.218,0.1,0.001,0.863,-0.744,7.222
112,0.218,0.1,0.001,0.861,-0.742,7.089
113,0.305,0.1,0.001,0.883,-0.677,6.957
114,0.305,0.1,0.001,0.759,-0.553,6.822
115,0.196,0.1,0.001,0.685,-0.588,6.706
116,0.196,0.1,0.0,0.683,-0.587,6.6
117,0.052000000000000005,0.0,0.001,0.669,-0.616,6.496
118,0.052000000000000005,0.0,0.001,0.618,-0.565,6.393
119,0.218,0.0,0.001,0.745,-0.526,6.298
120,0.381,0.0,0.001,0.83,-0.448,6.184
121,0.215,0.0,0.0,0.743,-0.528,6.057
122,0.052000000000000005,0.0,0.001,0.837,-0.784,5.943
123,0.196,0.0,0.001,0.774,-0.577,5.815
124,0.28600000000000003,0.0,0.001,0.61,-0.323,5.696
125,0.052000000000000005,0.0,0.001,0.686,-0.633,5.602
126,0.052000000000000005,0.0,0.0,0.585,-0.533,5.497
127,0.052000000000000005,0.0,0.001,0.752,-0.699,5.407
128,0.614,0.0,0.001,0.995,-0.38,5.292
129,0.583,0.0,0.001,0.684,-0.1,5.14
130,0.711,0.0,0.001,0.681,0.031,5.035
131,0.711,0.0,0.0,0.743,-0.032,4.93
132,0.406,0.0,0.001,0.869,-0.462,4.816
133,0.284,0.0,0.001,0.843,-0.558,4.683
134,0.324,0.0,0.001,0.687,-0.362,4.554
135,0.29100000000000004,0.0,0.001,0.707,-0.415,4.449
136,0.633,0.0,0.0,0.725,-0.092,4.34
137,0.696,0.0,0.001,0.641,0.056,4.229
138,0.5720000000000001,0.0,0.001,0.465,0.108,4.131
139,0.455,0.0,0.001,0.429,0.027,4.059
140,0.415,0.0,0.001,0.395,0.021,3.994
141,0.191,0.0,0.0,0.485,-0.294,3.933
142,0.29100000000000004,0.0,0.001,0.506,-0.214,3.859
143,0.45399999999999996,0.0,0.001,0.449,0.006,3.781
