,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.055999999999999994,0.006,-0.296,0.358,3.895
1,0.055999999999999994,0.006,-0.273,0.335,3.941
2,0.055999999999999994,0.0,-0.291,0.347,3.983
3,0.055999999999999994,0.006,-0.287,0.349,4.027
4,0.055999999999999994,0.006,-0.332,0.394,4.071
5,0.055999999999999994,0.006,-0.348,0.41,4.122
6,0.055999999999999994,0.006,-0.343,0.405,4.175
7,0.055999999999999994,0.006,-0.382,0.444,4.228
8,0.055999999999999994,0.0,-0.388,0.444,4.287
9,0.055999999999999994,0.006,-0.386,0.448,4.346
10,0.055999999999999994,0.006,-0.4,0.462,4.405
11,0.055999999999999994,0.006,-0.419,0.481,4.467
12,0.055999999999999994,0.006,-0.425,0.487,4.531
13,0.055999999999999994,0.0,-0.416,0.472,4.596
14,0.055999999999999994,0.006,-0.412,0.474,4.66
15,0.055999999999999994,0.006,-0.394,0.456,4.723
16,0.055999999999999994,0.006,-0.396,0.458,4.784
17,0.055999999999999994,0.006,-0.407,0.469,4.844
18,0.055999999999999994,0.0,-0.396,0.452,4.907
19,0.055999999999999994,0.006,-0.405,0.467,4.968
20,0.055999999999999994,0.006,-0.405,0.467,5.03
21,0.055999999999999994,0.006,-0.354,0.416,5.092
22,0.055999999999999994,0.006,-0.351,0.413,5.146
23,0.055999999999999994,0.006,-0.398,0.46,5.2
24,0.055999999999999994,0.0,-0.388,0.444,5.261
25,0.055999999999999994,0.006,-0.382,0.444,5.32
26,0.055999999999999994,0.006,-0.393,0.455,5.379
27,0.055999999999999994,0.006,-0.402,0.464,5.439
28,0.055999999999999994,0.006,-0.387,0.449,5.501
29,0.055999999999999994,0.006,-0.388,0.45,5.56
30,0.055999999999999994,0.0,-0.388,0.444,5.62
31,0.055999999999999994,0.006,-0.383,0.445,5.679
32,0.055999999999999994,0.006,-0.39,0.452,5.738
33,0.055999999999999994,0.006,-0.384,0.446,5.798
34,0.055999999999999994,0.006,-0.367,0.429,5.857
35,0.055999999999999994,0.0,-0.364,0.42,5.913
36,0.055999999999999994,0.006,-0.34,0.402,5.969
37,0.055999999999999994,0.006,-0.363,0.425,6.021
38,0.055999999999999994,0.006,-0.36,0.422,6.077
39,0.055999999999999994,0.006,-0.34,0.402,6.132
40,0.055999999999999994,0.0,-0.301,0.357,6.184
41,0.055999999999999994,0.006,-0.198,0.26,6.23
42,0.055999999999999994,0.006,-0.229,0.291,6.261
43,0.23600000000000002,0.006,-0.045,0.287,6.296
44,0.265,0.006,-0.143,0.414,6.303
45,1.8630000000000002,0.0,-0.229,2.092,6.325
46,0.405,0.006,-0.203,0.614,6.36
47,0.385,0.006,-0.152,0.543,6.391
48,0.385,0.006,-0.055,0.446,6.414
49,0.365,0.006,-0.151,0.522,6.422
50,0.265,0.006,-0.149,0.42,6.446
51,0.685,0.0,-0.044,0.729,6.468
52,0.716,0.006,-0.148,0.87,6.475
53,0.716,0.006,-0.083,0.805,6.498
54,0.21600000000000003,0.006,-0.119,0.341,6.511
55,0.228,0.006,-0.093,0.327,6.529
56,2.211,0.0,-0.014,2.225,6.543
57,2.211,0.006,-2.918,5.135,6.545
58,1.786,0.006,-0.081,1.873,6.993
59,2.5639999999999996,0.006,-2.908,5.478,7.005
60,2.5639999999999996,0.006,-0.024,2.594,7.451
61,2.5639999999999996,0.0,-0.079,2.643,7.455
62,2.6239999999999997,0.006,0.18,2.45,7.467
63,2.5639999999999996,0.006,2.951,-0.381,7.439
64,2.504,0.006,-0.108,2.618,6.986
65,0.128,0.006,-0.175,0.309,7.003
66,0.128,0.0,-0.239,0.367,7.03
67,0.128,0.006,-0.28,0.414,7.067
68,0.623,0.006,-0.146,0.775,7.109
69,0.055999999999999994,0.006,-0.157,0.219,7.132
70,0.055999999999999994,0.006,-0.153,0.215,7.156
71,0.085,0.0,-0.059,0.144,7.179
72,0.085,0.006,-0.035,0.126,7.188
73,0.085,0.006,-0.065,0.156,7.194
74,0.055999999999999994,0.006,-0.119,0.181,7.204
75,0.055999999999999994,0.006,-0.304,0.366,7.222
76,0.055999999999999994,0.006,-0.393,0.455,7.269
77,0.055999999999999994,0.0,-0.215,0.271,7.329
78,0.055999999999999994,0.006,-0.192,0.254,7.362
79,0.055999999999999994,0.006,-0.104,0.166,7.391
80,0.055999999999999994,0.006,0.049,0.013,7.407
81,0.055999999999999994,0.006,-0.163,0.225,7.4
82,0.055999999999999994,0.0,-0.028,0.084,7.425
83,0.055999999999999994,0.006,-0.096,0.158,7.429
84,0.055999999999999994,0.006,-0.02,0.082,7.444
85,0.055999999999999994,0.006,0.032,0.03,7.447
86,0.055999999999999994,0.006,0.269,-0.207,7.442
87,0.055999999999999994,0.0,0.083,-0.027,7.401
88,0.055999999999999994,0.006,0.01,0.052,7.388
89,0.055999999999999994,0.006,0.095,-0.033,7.386
90,0.055999999999999994,0.006,0.336,-0.274,7.372
91,0.055999999999999994,0.006,0.275,-0.213,7.32
92,0.055999999999999994,0.0,0.207,-0.151,7.278
93,0.055999999999999994,0.006,0.079,-0.017,7.246
94,0.085,0.006,0.423,-0.332,7.234
95,0.085,0.006,0.582,-0.491,7.169
96,0.085,0.006,0.613,-0.522,7.08
97,0.262,0.0,0.64,-0.378,6.986
98,0.42,0.006,0.724,-0.298,6.888
99,0.4,0.006,0.748,-0.342,6.777
100,0.56,0.006,1.002,-0.436,6.662
101,0.66,0.006,0.859,-0.193,6.509
102,0.632,0.006,0.883,-0.245,6.377
103,2.199,0.0,0.904,1.295,6.242
104,0.615,0.006,0.829,-0.208,6.103
105,2.273,0.006,0.775,1.504,5.976
106,0.706,0.006,0.692,0.02,5.857
