;0
0;1.0499582866185717
1;1.049926214539403
2;1.049926507248735
3;1.0499273217761151
4;1.0499260244743651
5;1.0499249599727443
6;1.0499201129414182
7;1.0499227854733797
8;1.0499239054281495
9;1.0499192235384731
10;1.049919908664753
11;1.0499264133729365
12;1.04992685893183
13;1.0499244509903856
14;1.049926227121755
15;1.049925047866
16;1.0499230600888225
17;1.049923850165789
18;1.049925403341098
19;1.0499263114565274
20;1.0499233623776458
21;1.049923409150506
22;1.0499233474332617
23;1.0499242613213102
24;1.0499256331359437
25;1.0499248660739018
26;1.0499232244349963
27;1.049924353958554
28;1.0499222267336783
29;1.04992193342104
30;1.0499234557120738
31;1.0499217542666834
32;1.0499270626467778
33;1.0499268241749093
34;1.0499249839972353
35;1.0499236893882231
36;1.049912423343726
37;1.0499206765623093
38;1.0499195080449053
39;1.0499165935294
40;1.0499197524410233
41;1.0498823083459345
42;1.049901710874334
43;1.0498601989932665
44;1.049903077179482
45;1.0499111380204025
46;1.0498993936000585
47;1.0498989843818538
48;1.0498846961743036
49;1.0498963475757825
50;1.0498929089845719
51;1.0498580322267141
52;1.0498877934074513
53;1.0498671373573476
54;1.0498748393756918
55;1.0498581097263635
56;1.0498576135855047
57;1.0498771629901213
58;1.0498754666352859
59;1.0498787079866556
60;1.0498839126589112
61;1.0498922134651896
62;1.049842438194935
63;1.049914381895772
64;1.049879947035369
65;1.0499025082570088
66;1.049917935981012
67;1.0499154439072313
68;1.0498978839312232
69;1.049899636637731
70;1.0499020836462383
71;1.049885932054248
72;1.0498844523967756
73;1.049873991872539
74;1.0498993482829226
75;1.049915164339985
76;1.0499134235465595
77;1.0499117592457854
78;1.0499007592759588
79;1.0499022681922972
80;1.0498742485416108
81;1.0498989701367631
82;1.049901294599381
83;1.0499143142359701
84;1.049910745188362
85;1.0498931973579368
86;1.0498391736179995
87;1.0498829113336234
88;1.0498873198954852
89;1.0498873013063181
90;1.0498647092914404
91;1.0498719907117806
92;1.0498564358596918
93;1.0498913129034055
94;1.0498876953479361
95;1.049871646982362
96;1.0498641217146225
97;1.0498657725648108
98;1.049851133226504
99;1.0498562230103898
100;1.0498296157015463
101;1.0498336075043222
102;1.0498396395366552
103;1.0498337204517227
104;1.0498428695897917
105;1.049860439407207
106;1.049866518220023
107;1.0498470616920383
108;1.0498246764683867
109;1.0497972407330833
110;1.0498225386022497
111;1.0498149003765835
112;1.049827084614394
113;1.0498401230542191
114;1.0498368320183367
115;1.0498389279687645
116;1.0498305031363362
117;1.0498158833523759
118;1.049814050581548
119;1.0498316341715466
120;1.0498507086854787
121;1.0498388832353336
122;1.0498443158581232
123;1.0498585764684494
124;1.0498446369531307
125;1.049833276116663
126;1.0498617309421168
127;1.0498614711583043
128;1.049862196357652
129;1.0498515500808672
130;1.0498409329812795
131;1.049849337756609
132;1.0498464695420806
133;1.0498388990596814
134;1.0498700561722596
135;1.0498558060723244
136;1.0498381931692706
137;1.0498429352030467
138;1.049871186233029
139;1.0498690099054395
140;1.0498771551122148
141;1.0498839701408758
142;1.0498907222604583
143;1.0498938287981623
