;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
0;0.00032700000000000003;0.000369;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003
1;0.000298;0.000348;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298
2;0.000291;0.000338;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291
3;0.000259;0.000295;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259
4;0.000261;0.000298;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261
5;0.000254;0.000289;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254
6;0.00026700000000000004;0.000306;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004;0.00026700000000000004
7;0.00028800000000000006;0.000334;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006;0.00028800000000000006
8;0.000254;0.000289;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254
9;0.000264;0.000302;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264
