,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.044000000000000004,0.0,0.365,-0.321,3.794
1,0.044000000000000004,0.0,0.333,-0.289,3.738
2,0.044000000000000004,0.0,0.34,-0.296,3.687
3,0.044000000000000004,0.0,0.373,-0.329,3.635
4,0.044000000000000004,0.0,0.37,-0.326,3.578
5,0.198,0.0,0.378,-0.18,3.521
6,0.198,0.0,0.365,-0.167,3.463
7,0.044000000000000004,0.0,0.351,-0.307,3.407
8,0.044000000000000004,0.0,0.391,-0.347,3.353
9,0.39299999999999996,0.0,0.383,0.01,3.293
10,0.244,0.0,0.36,-0.116,3.235
11,0.141,0.0,0.356,-0.215,3.179
12,0.141,0.0,0.337,-0.196,3.125
13,0.044000000000000004,0.0,0.347,-0.303,3.073
14,0.044000000000000004,0.0,0.362,-0.318,3.02
15,0.198,0.0,0.396,-0.198,2.964
16,0.198,0.0,0.386,-0.188,2.904
17,0.39299999999999996,0.0,0.358,0.035,2.844
18,0.39299999999999996,0.0,0.384,0.009,2.79
19,0.044000000000000004,0.0,0.371,-0.327,2.731
20,0.044000000000000004,0.0,0.351,-0.307,2.674
21,0.044000000000000004,0.0,0.449,-0.405,2.62
22,0.141,0.0,0.461,-0.32,2.551
23,0.295,0.0,0.379,-0.084,2.48
24,0.39799999999999996,0.0,0.4,-0.002,2.422
25,0.39299999999999996,0.0,0.4,-0.007,2.361
26,0.244,0.0,0.367,-0.123,2.3
27,0.044000000000000004,0.0,0.347,-0.303,2.243
28,0.044000000000000004,0.0,0.366,-0.322,2.19
29,0.198,0.0,0.366,-0.168,2.134
30,0.295,0.0,0.376,-0.081,2.078
31,0.044000000000000004,0.0,0.374,-0.33,2.02
32,0.044000000000000004,0.0,0.367,-0.323,1.963
33,0.39299999999999996,0.0,0.374,0.019,1.907
34,0.39299999999999996,0.0,0.4,-0.007,1.849
35,0.044000000000000004,0.0,0.398,-0.354,1.788
36,0.141,0.0,0.382,-0.241,1.727
37,0.141,0.0,0.382,-0.241,1.668
38,0.198,0.0,0.371,-0.173,1.61
39,0.198,0.1,0.296,-0.198,1.553
40,0.044000000000000004,0.1,0.393,-0.449,1.507
