,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.055,0.0,0.614,0.444,0.225,3.782
1,0.055,0.0,0.614,0.345,0.324,3.714
2,0.055,0.0,0.613,0.353,0.315,3.661
3,0.055,0.0,0.614,0.409,0.26,3.607
4,0.055,0.0,0.613,0.42,0.248,3.544
5,0.055,0.0,0.613,0.405,0.263,3.48
6,0.209,0.0,0.5870000000000001,0.365,0.431,3.418
7,0.209,0.0,0.331,0.344,0.196,3.362
8,0.055,0.0,0.087,0.386,-0.244,3.309
9,0.055,0.0,0.001,0.383,-0.327,3.25
10,0.055,0.0,0.001,0.35,-0.294,3.191
11,0.055,0.0,0.001,0.358,-0.302,3.138
12,0.055,0.0,0.001,0.334,-0.278,3.083
13,0.055,0.0,0.001,0.32,-0.264,3.031
14,0.209,0.0,0.001,0.347,-0.137,2.982
15,0.209,0.0,0.001,0.36,-0.15,2.929
16,0.055,0.0,0.001,0.349,-0.293,2.874
17,0.055,0.0,0.001,0.363,-0.307,2.821
18,0.055,0.0,0.001,0.413,-0.357,2.765
19,0.055,0.0,0.001,0.376,-0.32,2.702
20,0.055,0.0,0.001,0.347,-0.291,2.644
21,0.055,0.0,0.0,0.344,-0.289,2.591
22,0.055,0.0,0.001,0.346,-0.29,2.538
23,0.055,0.0,0.001,0.325,-0.269,2.485
24,0.055,0.0,0.001,0.39,-0.334,2.435
25,0.055,0.0,0.001,0.421,-0.365,2.375
26,0.055,0.0,0.001,0.365,-0.309,2.311
27,0.055,0.0,0.001,0.357,-0.301,2.255
28,0.055,0.0,0.001,0.35,-0.294,2.2
29,0.209,0.0,0.001,0.333,-0.123,2.146
30,0.209,0.0,0.001,0.331,-0.121,2.095
31,0.055,0.0,0.001,0.34,-0.284,2.045
32,0.055,0.0,0.001,0.356,-0.3,1.992
33,0.055,0.0,0.001,0.371,-0.315,1.938
34,0.055,0.0,0.001,0.387,-0.331,1.881
35,0.055,0.0,0.0,0.375,-0.32,1.822
36,0.055,0.0,0.001,0.366,-0.31,1.764
37,0.055,0.0,0.001,0.327,-0.271,1.708
38,0.055,0.0,0.001,0.322,-0.266,1.658
39,0.209,0.1,0.001,0.295,-0.185,1.609
40,0.209,0.1,0.001,0.454,-0.344,1.563
41,0.055,0.1,0.001,0.468,-0.512,1.494
42,0.055,0.1,0.001,0.367,-0.411,1.422
43,0.055,0.1,0.0,0.546,-0.591,1.366
44,0.195,0.1,0.001,0.806,-0.71,1.282
45,0.135,0.3,0.001,0.363,-0.527,1.159
46,0.315,0.3,0.001,0.36,-0.344,1.103
47,0.479,0.3,0.001,0.442,-0.262,1.048
48,0.5539999999999999,0.3,0.0,0.651,-0.397,0.98
49,0.628,0.3,0.001,0.455,-0.126,0.88
50,0.209,0.3,0.001,0.395,-0.485,0.81
51,0.055,0.6,0.001,0.164,-0.708,0.75
52,0.055,0.6,0.001,0.06,-0.604,0.725
