;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
0;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.000386;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997
1;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.00035999999999999997;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329
2;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00038799999999999994;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996;0.00035299999999999996
3;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00038500000000000003;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035;0.00035
4;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.00041600000000000003;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375;0.000375
5;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000403;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365;0.000365
6;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.00040399999999999995;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366
7;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.000459;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041;0.00041
8;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000463;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413
9;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00047100000000000006;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042;0.00042
10;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000503;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444;0.000444
11;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000528;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463;0.000463
12;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.000536;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996;0.00046899999999999996
13;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000527;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462
14;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.000526;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004;0.00046100000000000004
15;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.0004870000000000001;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043;0.00043
16;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000494;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435
17;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.0005160000000000001;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451;0.000451
18;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.000499;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005;0.00043700000000000005
19;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000515;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449;0.000449
20;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.000522;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995;0.00045299999999999995
21;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.00043;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381
22;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.00042200000000000007;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374;0.000374
23;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.0005110000000000001;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441;0.000441
