,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.049,0.0,0.001,0.444,-0.394,3.782
1,0.049,0.0,0.001,0.345,-0.295,3.714
2,0.049,0.0,0.0,0.353,-0.304,3.661
3,0.049,0.0,0.001,0.409,-0.359,3.607
4,0.049,0.0,0.001,0.42,-0.37,3.544
5,0.049,0.0,0.001,0.405,-0.355,3.48
6,0.049,0.0,0.001,0.365,-0.315,3.418
7,0.049,0.0,0.001,0.344,-0.294,3.362
8,0.27,0.0,0.0,0.386,-0.116,3.309
9,0.27,0.0,0.001,0.383,-0.112,3.25
10,0.049,0.0,0.001,0.35,-0.3,3.191
11,0.049,0.0,0.001,0.358,-0.308,3.138
12,0.049,0.0,0.001,0.334,-0.284,3.083
13,0.049,0.0,0.0,0.32,-0.271,3.031
14,0.049,0.0,0.001,0.347,-0.297,2.982
15,0.21,0.0,0.001,0.36,-0.149,2.929
16,0.431,0.0,0.001,0.349,0.083,2.874
17,0.27,0.0,0.001,0.363,-0.092,2.821
18,0.27,0.0,0.0,0.413,-0.143,2.765
19,0.049,0.0,0.001,0.376,-0.326,2.702
20,0.049,0.0,0.001,0.347,-0.297,2.644
21,0.049,0.0,0.001,0.344,-0.294,2.591
22,0.21,0.0,0.001,0.346,-0.135,2.538
23,0.21,0.0,0.0,0.325,-0.115,2.485
24,0.049,0.0,0.001,0.39,-0.34,2.435
25,0.27,0.0,0.001,0.421,-0.15,2.375
26,0.27,0.0,0.001,0.365,-0.094,2.311
27,0.049,0.0,0.001,0.357,-0.307,2.255
28,0.049,0.0,0.0,0.35,-0.301,2.2
29,0.21,0.0,0.001,0.333,-0.122,2.146
30,0.21,0.0,0.001,0.331,-0.12,2.095
31,0.049,0.0,0.001,0.34,-0.29,2.045
32,0.049,0.0,0.001,0.356,-0.306,1.992
33,0.049,0.0,0.001,0.371,-0.321,1.938
34,0.27,0.0,0.0,0.387,-0.117,1.881
35,0.531,0.0,0.001,0.375,0.157,1.822
36,0.578,0.0,0.001,0.366,0.213,1.764
37,0.049,0.0,0.001,0.327,-0.277,1.708
38,0.049,0.0,0.001,0.322,-0.272,1.658
39,0.049,0.1,0.0,0.295,-0.346,1.609
40,0.049,0.1,0.001,0.454,-0.504,1.563
41,0.212,0.1,0.001,0.468,-0.355,1.494
42,0.557,0.1,0.001,0.367,0.091,1.422
43,0.557,0.1,0.001,0.546,-0.088,1.366
