;0;1;2;3;4;5;6;7;8;9;10
0;0.00037;0.00037;0.00039600000000000003;0.00037;0.00037;0.00037;0.00037;0.00037;0.00037;0.00037;0.00037
1;0.000354;0.000354;0.000383;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354
2;0.000354;0.000354;0.000383;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354
3;0.0003;0.0003;0.000321;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003
4;0.000316;0.000316;0.00034;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316;0.000316
5;0.000331;0.000331;0.00035700000000000006;0.000331;0.000331;0.000331;0.000331;0.000331;0.000331;0.000331;0.000331
6;0.000306;0.000306;0.00032799999999999995;0.000306;0.000306;0.000306;0.000306;0.000306;0.000306;0.000306;0.000306
7;0.00032700000000000003;0.00032700000000000003;0.00035299999999999996;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003;0.00032700000000000003
8;0.000345;0.000345;0.000374;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345
9;0.000331;0.000331;0.00035700000000000006;0.000331;0.000331;0.000331;0.000331;0.000331;0.000331;0.000331;0.000331
10;0.000359;0.000359;0.000391;0.000359;0.000359;0.000359;0.000359;0.000359;0.000359;0.000359;0.000359
11;0.000366;0.000366;0.000399;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366;0.000366
12;0.00040500000000000003;0.00040500000000000003;0.00044500000000000003;0.00040500000000000003;0.00040500000000000003;0.00040500000000000003;0.00040500000000000003;0.00040500000000000003;0.00040500000000000003;0.00040500000000000003;0.00040500000000000003
13;0.00039200000000000004;0.00039200000000000004;0.00043;0.00039200000000000004;0.00039200000000000004;0.00039200000000000004;0.00039200000000000004;0.00039200000000000004;0.00039200000000000004;0.00039200000000000004;0.00039200000000000004
14;0.000368;0.000368;0.000402;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368
15;0.00034399999999999996;0.00034399999999999996;0.000374;0.00034399999999999996;0.00034399999999999996;0.00034399999999999996;0.00034399999999999996;0.00034399999999999996;0.00034399999999999996;0.00034399999999999996;0.00034399999999999996
16;0.00035200000000000005;0.00035200000000000005;0.000383;0.00035200000000000005;0.00035200000000000005;0.00035200000000000005;0.00035200000000000005;0.00035200000000000005;0.00035200000000000005;0.00035200000000000005;0.00035200000000000005
17;0.00034100000000000005;0.00034100000000000005;0.000371;0.00034100000000000005;0.00034100000000000005;0.00034100000000000005;0.00034100000000000005;0.00034100000000000005;0.00034100000000000005;0.00034100000000000005;0.00034100000000000005
18;0.000315;0.000315;0.00034100000000000005;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315;0.000315
19;0.000368;0.000368;0.000403;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368
20;0.000351;0.000351;0.000383;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351
21;0.00034;0.00034;0.000371;0.00034;0.00034;0.00034;0.00034;0.00034;0.00034;0.00034;0.00034
22;0.000381;0.000381;0.00042;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381;0.000381
23;0.000383;0.000383;0.000424;0.000383;0.000383;0.000383;0.000383;0.000383;0.000383;0.000383;0.000383
24;0.000303;0.000303;0.00032799999999999995;0.000303;0.000303;0.000303;0.000303;0.000303;0.000303;0.000303;0.000303
25;0.00027600000000000004;0.00027600000000000004;0.000297;0.00027600000000000004;0.00027600000000000004;0.00027600000000000004;0.00027600000000000004;0.00027600000000000004;0.00027600000000000004;0.00027600000000000004;0.00027600000000000004
26;0.000363;0.000363;0.00040100000000000004;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363;0.000363
27;0.00035999999999999997;0.00035999999999999997;0.00039799999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997;0.00035999999999999997
28;0.000361;0.000361;0.0004;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361
29;0.000382;0.000382;0.0004270000000000001;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382
30;0.000371;0.000371;0.000414;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371;0.000371
31;0.00039700000000000005;0.00039700000000000005;0.000447;0.00039700000000000005;0.00039700000000000005;0.00039700000000000005;0.00039700000000000005;0.00039700000000000005;0.00039700000000000005;0.00039700000000000005;0.00039700000000000005
32;0.00039000000000000005;0.00039000000000000005;0.00044;0.00039000000000000005;0.00039000000000000005;0.00039000000000000005;0.00039000000000000005;0.00039000000000000005;0.00039000000000000005;0.00039000000000000005;0.00039000000000000005
33;0.000343;0.000343;0.000383;0.000343;0.000343;0.000343;0.000343;0.000343;0.000343;0.000343;0.000343
34;0.000298;0.000298;0.00032799999999999995;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298
35;0.00037200000000000004;0.00037200000000000004;0.00042200000000000007;0.00037200000000000004;0.00037200000000000004;0.00037200000000000004;0.00037200000000000004;0.00037200000000000004;0.00037200000000000004;0.00037200000000000004;0.00037200000000000004
36;0.000382;0.000382;0.000436;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382
