,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.092,0.001,-0.326,0.419,3.9
1,0.092,0.001,-0.297,0.39,3.95
2,0.174,0.0,-0.289,0.463,3.996
3,0.555,0.001,-0.254,0.81,4.04
4,0.57,0.001,-0.257,0.828,4.079
5,0.659,0.001,-0.249,0.909,4.118
6,0.381,0.001,-0.263,0.645,4.156
7,0.052000000000000005,0.0,-0.285,0.337,4.197
8,0.142,0.001,-0.258,0.401,4.24
9,0.142,0.001,-0.269,0.412,4.28
10,0.052000000000000005,0.001,-0.284,0.337,4.321
11,0.196,0.001,-0.289,0.486,4.365
12,0.36200000000000004,0.0,-0.309,0.671,4.409
13,0.218,0.001,-0.299,0.518,4.457
14,0.305,0.001,-0.283,0.589,4.502
15,0.052000000000000005,0.001,-0.255,0.308,4.546
16,0.052000000000000005,0.001,-0.266,0.319,4.585
17,0.196,0.0,-0.287,0.483,4.626
18,0.196,0.001,-0.26,0.457,4.67
19,0.052000000000000005,0.001,-0.273,0.326,4.709
20,0.052000000000000005,0.001,-0.294,0.347,4.751
21,0.308,0.001,-0.19,0.499,4.796
22,0.47100000000000003,0.001,-0.186,0.658,4.826
23,0.052000000000000005,0.0,-0.273,0.325,4.854
24,0.052000000000000005,0.001,-0.247,0.3,4.896
25,0.052000000000000005,0.001,-0.242,0.295,4.934
26,0.052000000000000005,0.001,-0.277,0.33,4.971
27,0.196,0.001,-0.299,0.496,5.014
28,0.196,0.0,-0.279,0.475,5.059
29,0.215,0.001,-0.278,0.494,5.102
30,0.218,0.001,-0.277,0.496,5.145
31,0.308,0.001,-0.279,0.588,5.187
32,0.142,0.001,-0.278,0.421,5.23
33,0.052000000000000005,0.0,-0.27,0.322,5.273
34,0.196,0.001,-0.242,0.439,5.314
35,0.196,0.001,-0.244,0.441,5.351
36,0.052000000000000005,0.001,-0.261,0.314,5.388
37,0.47100000000000003,0.001,-0.266,0.738,5.429
38,0.308,0.0,-0.278,0.586,5.469
39,0.052000000000000005,0.001,-0.256,0.309,5.512
40,0.196,0.001,-0.148,0.345,5.551
41,0.196,0.001,0.086,0.111,5.574
42,0.052000000000000005,0.001,0.087,-0.034,5.561
43,0.052000000000000005,0.001,0.096,-0.043,5.547
44,0.218,0.0,0.077,0.141,5.533
45,0.381,0.001,-0.057,0.439,5.521
46,0.215,0.001,-0.087,0.303,5.53
47,0.196,0.001,0.114,0.083,5.543
48,0.196,0.001,0.16,0.037,5.525
49,0.052000000000000005,0.0,0.106,-0.054,5.501
50,0.052000000000000005,0.001,0.083,-0.03,5.485
51,0.218,0.001,0.271,-0.052,5.472
52,0.218,0.001,0.045,0.174,5.43
53,0.052000000000000005,0.001,0.063,-0.01,5.423
54,0.215,0.0,-0.057,0.272,5.414
55,0.215,0.001,-0.017,0.233,5.422
56,0.28600000000000003,0.001,0.127,0.16,5.425
57,0.28600000000000003,0.001,0.259,0.028,5.406
58,0.218,0.001,0.091,0.128,5.366
59,0.218,0.0,0.207,0.011,5.352
60,0.052000000000000005,0.001,0.158,-0.105,5.32
61,0.052000000000000005,0.001,0.102,-0.049,5.296
62,0.052000000000000005,0.001,0.139,-0.086,5.28
63,0.052000000000000005,0.001,0.21,-0.157,5.259
64,0.052000000000000005,0.0,-0.106,0.158,5.227
65,0.052000000000000005,0.001,-0.117,0.17,5.243
66,0.069,0.001,-0.102,0.172,5.261
67,0.23199999999999998,0.001,-0.135,0.368,5.277
68,0.542,0.001,-0.026,0.569,5.297
69,0.379,0.0,-0.029,0.408,5.301
70,0.43700000000000006,0.001,0.047,0.391,5.306
71,0.271,0.001,0.161,0.111,5.299
72,0.052000000000000005,0.001,0.199,-0.146,5.274
73,0.052000000000000005,0.001,0.158,-0.105,5.243
74,0.052000000000000005,0.0,0.172,-0.12,5.219
75,0.215,0.001,-0.051,0.267,5.193
76,0.381,0.001,-0.204,0.586,5.2
77,0.308,0.001,-0.134,0.443,5.232
78,0.052000000000000005,0.001,-0.263,0.316,5.252
79,0.196,0.001,-0.141,0.338,5.293
80,0.196,0.0,0.096,0.1,5.314
81,0.052000000000000005,0.001,-0.245,0.298,5.299
82,0.052000000000000005,0.001,-0.068,0.121,5.337
83,0.215,0.001,-0.138,0.354,5.348
84,0.215,0.001,-0.039,0.255,5.369
85,0.28600000000000003,0.0,-0.084,0.37,5.375
86,0.452,0.001,-0.071,0.524,5.388
87,0.218,0.001,-0.036,0.255,5.399
88,0.052000000000000005,0.001,-0.205,0.258,5.404
89,0.052000000000000005,0.001,-0.108,0.161,5.436
90,0.215,0.0,0.188,0.027,5.452
91,0.215,0.001,0.086,0.13,5.423
92,0.142,0.001,0.01,0.133,5.41
93,0.142,0.001,-0.066,0.209,5.409
94,0.052000000000000005,0.001,0.141,-0.088,5.419
95,0.052000000000000005,0.0,0.084,-0.032,5.397
96,0.36200000000000004,0.001,0.047,0.316,5.384
97,0.525,0.001,0.048,0.478,5.377
98,0.215,0.001,0.196,0.02,5.37
99,0.052000000000000005,0.001,0.389,-0.336,5.34
100,0.142,0.0,0.433,-0.291,5.28
101,0.142,0.001,0.108,0.035,5.214
102,0.052000000000000005,0.001,0.181,-0.128,5.197
103,0.218,0.001,0.193,0.026,5.169
104,0.36200000000000004,0.001,0.146,0.217,5.14
105,0.359,0.0,0.225,0.134,5.117
106,0.305,0.001,0.191,0.115,5.083
107,0.282,0.001,0.292,-0.009,5.054
108,0.321,0.001,0.452,-0.13,5.009
109,0.507,0.001,0.347,0.161,4.94
110,0.052000000000000005,0.0,0.375,-0.323,4.886
111,0.218,0.001,0.343,-0.124,4.829
112,0.218,0.001,0.428,-0.209,4.776
113,0.305,0.001,0.513,-0.207,4.711
114,0.305,0.001,0.394,-0.088,4.632
115,0.196,0.001,0.263,-0.066,4.571
116,0.196,0.0,0.376,-0.18,4.531
117,0.052000000000000005,0.001,0.269,-0.216,4.473
118,0.052000000000000005,0.001,0.199,-0.146,4.432
119,0.218,0.001,0.164,0.055,4.402
120,0.381,0.001,0.269,0.113,4.376
121,0.215,0.0,0.165,0.05,4.335
122,0.052000000000000005,0.001,0.216,-0.163,4.31
123,0.196,0.001,0.186,0.011,4.277
124,0.28600000000000003,0.001,0.106,0.181,4.248
125,0.052000000000000005,0.001,0.206,-0.153,4.232
126,0.052000000000000005,0.0,0.08,-0.028,4.201
127,0.052000000000000005,0.001,0.273,-0.22,4.188
128,0.614,0.001,0.434,0.181,4.146
129,0.583,0.001,0.187,0.397,4.08
130,0.711,0.001,0.254,0.458,4.051
131,0.711,0.0,0.317,0.394,4.012
132,0.406,0.001,0.213,0.194,3.964
133,0.284,0.001,0.199,0.086,3.931
134,0.324,0.001,0.045,0.28,3.9
135,0.29100000000000004,0.001,0.077,0.215,3.894
136,0.633,0.0,0.094,0.539,3.882
137,0.696,0.001,0.116,0.581,3.867
138,0.5720000000000001,0.001,-0.041,0.614,3.85
139,0.455,0.001,-0.049,0.505,3.856
140,0.415,0.001,-0.124,0.54,3.863
141,0.191,0.0,-0.064,0.255,3.883
142,0.29100000000000004,0.001,-0.051,0.343,3.892
143,0.45399999999999996,0.001,-0.326,0.781,3.9
