;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
0;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.000992;-0.00043700000000000005;-0.000408;-0.00036700000000000003;-0.000603;-3.8e-05;7.3e-05;-0.000857;-0.0006829999999999999;-0.000518;-0.0007290000000000002;-0.000292;-0.00033200000000000005;-0.00049;-0.000488
1;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.00043400000000000003;-0.000443;-0.000408;-0.00042100000000000004;-0.00045799999999999997;-0.00020800000000000001;-0.00028000000000000003;-0.000299;-0.000473;-0.000462;-0.000361;-0.000135;-0.000528;-0.0004270000000000001;-0.000439
2;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000439;-0.000443;-0.000402;-0.000537;-0.00045799999999999997;-0.00020199999999999998;-0.000274;-0.000299;-0.000467;-0.000462;-0.000395;-0.000135;-0.000522;-0.0004270000000000001;-0.000439
3;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.0005160000000000001;-0.000443;-0.000578;-0.000637;-0.00045799999999999997;-0.00020800000000000001;-0.00025;-0.000299;-0.000473;-0.000462;-0.00040100000000000004;-0.00034700000000000003;-0.00038700000000000003;-0.0004270000000000001;-0.000433
4;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000504;-0.000443;-0.000578;-0.0009220000000000001;-0.00045799999999999997;-0.00020800000000000001;-0.00025;-0.000413;-0.000473;-0.000456;-0.000361;-0.00012900000000000002;-0.00038700000000000003;-0.0004270000000000001;-0.000439
5;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.000498;-0.00043700000000000005;-0.000408;-0.000903;-0.000537;-0.00020800000000000001;-9.800000000000001e-05;-0.000419;-0.000473;-0.000462;-0.00046100000000000004;-0.00025;-0.00038700000000000003;-0.00042100000000000004;-0.000543
6;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.0004870000000000001;-0.000443;-0.000408;-0.00022600000000000002;-0.00045799999999999997;-0.00020800000000000001;-9.800000000000001e-05;-0.000299;-0.000473;-0.000462;-0.000431;-0.00025;-0.00068;-0.0004270000000000001;-0.000759
7;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000345;-0.000443;-0.000402;-0.00022600000000000002;-0.00045799999999999997;-0.00020800000000000001;-9.800000000000001e-05;-0.000299;-0.000467;-0.0005679999999999999;-0.00032500000000000004;-0.000135;-0.000674;-0.000601;-0.0006550000000000001
8;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000242;-0.000565;-0.000408;-0.000343;-0.0006590000000000001;-0.000423;-0.00028000000000000003;-0.000299;-0.000473;-0.0007650000000000001;-0.000512;-0.000135;-0.00038700000000000003;-0.000601;-0.000433
9;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000223;-0.000565;-0.000408;-0.00022;-0.0006590000000000001;-0.000429;-0.000274;-0.000299;-0.000473;-0.0006590000000000001;-0.000512;-0.000135;-0.00038700000000000003;-0.0004270000000000001;-0.000439
10;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000191;-0.000443;-0.000408;-0.00022600000000000002;-0.00045200000000000004;-0.00020800000000000001;-9.800000000000001e-05;-0.00051;-0.000668;-0.000653;-0.000331;-0.00012900000000000002;-0.00038700000000000003;-0.0004270000000000001;-0.000439
11;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.00019600000000000002;-0.000598;-0.000408;-0.00035700000000000006;-0.00045799999999999997;-0.00020800000000000001;-9.800000000000001e-05;-0.0005160000000000001;-0.000668;-0.000462;-0.000331;-0.00034700000000000003;-0.00038700000000000003;-0.00042100000000000004;-0.000439
12;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.00017600000000000002;-0.000604;-0.000402;-0.00035700000000000006;-0.00045799999999999997;-0.00020800000000000001;-0.00025;-0.000299;-0.000473;-0.000462;-0.00032500000000000004;-0.00025;-0.00038700000000000003;-0.0004270000000000001;-0.000439
13;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000175;-0.000443;-0.000408;-0.00022600000000000002;-0.00045799999999999997;-0.00020199999999999998;-0.00025;-0.000299;-0.000467;-0.000462;-0.000331;-0.00025;-0.000484;-0.0004270000000000001;-0.000439
14;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.00020199999999999998;-0.000443;-0.000578;-0.00022;-0.0006590000000000001;-0.00020800000000000001;-9.800000000000001e-05;-0.000299;-0.000473;-0.000462;-0.000331;-0.000135;-0.000718;-0.0004270000000000001;-0.000753
