,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.0,0.001,0.439,-0.39,3.783
1,0.22699999999999998,0.0,0.001,0.365,-0.137,3.716
2,0.22699999999999998,0.0,0.001,0.375,-0.147,3.66
3,0.231,0.0,0.001,0.41,-0.178,3.602
4,0.048,0.0,0.001,0.409,-0.36,3.539
5,0.166,0.0,0.001,0.416,-0.249,3.477
6,0.166,0.0,0.001,0.402,-0.235,3.413
7,0.048,0.0,0.001,0.373,-0.324,3.351
8,0.22699999999999998,0.0,0.0,0.394,-0.167,3.294
9,0.22699999999999998,0.0,0.001,0.386,-0.158,3.233
10,0.22699999999999998,0.0,0.001,0.354,-0.126,3.174
11,0.231,0.0,0.001,0.367,-0.135,3.12
12,0.166,0.0,0.001,0.345,-0.178,3.064
13,0.048,0.0,0.001,0.346,-0.297,3.011
14,0.048,0.0,0.001,0.374,-0.325,2.958
15,0.048,0.0,0.001,0.397,-0.348,2.901
16,0.048,0.0,0.001,0.369,-0.32,2.84
17,0.048,0.0,0.001,0.363,-0.314,2.783
18,0.231,0.0,0.001,0.403,-0.171,2.727
19,0.048,0.0,0.001,0.385,-0.336,2.666
20,0.166,0.0,0.001,0.359,-0.192,2.607
21,0.345,0.0,0.0,0.381,-0.036,2.552
22,0.22699999999999998,0.0,0.001,0.381,-0.153,2.493
23,0.048,0.0,0.001,0.363,-0.314,2.435
24,0.048,0.0,0.001,0.394,-0.345,2.379
25,0.231,0.0,0.001,0.413,-0.181,2.319
26,0.048,0.0,0.001,0.377,-0.328,2.255
27,0.166,0.0,0.001,0.362,-0.195,2.198
28,0.166,0.0,0.001,0.371,-0.204,2.142
29,0.048,0.0,0.001,0.356,-0.307,2.085
30,0.22699999999999998,0.0,0.001,0.365,-0.137,2.031
31,0.22699999999999998,0.0,0.0,0.36,-0.133,1.975
32,0.048,0.0,0.001,0.379,-0.33,1.919
33,0.166,0.0,0.001,0.382,-0.215,1.861
34,0.349,0.0,0.001,0.394,-0.044,1.803
35,0.048,0.0,0.001,0.383,-0.334,1.742
36,0.048,0.0,0.0,0.383,-0.335,1.683
37,0.22699999999999998,0.0,0.001,0.367,-0.139,1.625
38,0.22699999999999998,0.0,0.001,0.359,-0.131,1.568
39,0.048,0.1,0.001,0.298,-0.349,1.513
40,0.048,0.1,0.001,0.42,-0.471,1.468
41,0.231,0.1,0.0,0.431,-0.3,1.403
42,0.166,0.1,0.001,0.373,-0.306,1.337
43,0.166,0.1,0.001,0.499,-0.432,1.28
44,0.22699999999999998,0.1,0.001,0.698,-0.57,1.204
45,0.22699999999999998,0.3,0.001,0.326,-0.398,1.096
46,0.22699999999999998,0.3,0.0,0.319,-0.392,1.046
47,0.048,0.3,0.001,0.371,-0.622,0.997
48,0.349,0.3,0.001,0.529,-0.479,0.941
49,0.349,0.3,0.001,0.403,-0.353,0.859
50,0.048,0.3,0.001,0.36,-0.611,0.798
51,0.048,0.6,0.0,0.106,-0.658,0.743
52,0.048,0.6,0.001,0.05,-0.601,0.726
53,0.22699999999999998,0.6,0.001,0.089,-0.461,0.719
54,0.22699999999999998,0.6,0.001,0.038,-0.41,0.705
55,0.048,0.6,0.001,0.096,-0.647,0.699
56,0.048,0.6,0.001,0.151,-0.702,0.684
57,0.231,1.0,0.0,-0.173,-0.596,0.661
58,0.048,1.0,0.001,-0.359,-0.592,0.688
59,0.166,1.0,0.001,-0.206,-0.627,0.743
60,0.17600000000000002,1.0,0.001,-0.257,-0.566,0.774
61,0.057999999999999996,1.0,0.001,-0.225,-0.716,0.814
62,0.25,1.0,0.0,-0.287,-0.463,0.848
63,0.25,1.6,0.001,-0.728,-0.621,0.892
64,0.071,1.6,0.001,-1.107,-0.421,1.004
65,0.166,1.6,0.001,-1.041,-0.392,1.174
66,0.166,1.6,0.001,-1.007,-0.426,1.333
67,0.231,1.6,0.0,-1.038,-0.331,1.488
68,0.19399999999999998,1.6,0.001,-0.897,-0.508,1.647
69,0.373,2.0,0.001,-1.323,-0.303,1.785
70,2.8489999999999998,2.0,0.001,-1.327,2.177,1.987
71,2.647,2.0,0.001,-1.255,1.903,2.191
72,2.537,2.0,0.001,-1.203,1.741,2.383
73,2.537,2.0,0.0,-1.246,1.783,2.568
74,2.838,2.0,0.001,-1.199,2.038,2.759
75,2.665,2.2,0.001,-1.589,2.055,2.943
76,0.071,2.2,0.001,-1.754,-0.374,3.187
77,0.171,2.2,0.001,-1.768,-0.26,3.455
78,0.237,2.2,0.0,-1.819,-0.144,3.727
79,0.265,2.2,0.218,-1.682,-0.035,4.005
80,0.086,2.2,0.616,-1.691,0.193,4.263
81,0.086,2.0,0.073,-1.61,-0.231,4.523
82,0.076,2.0,0.001,-1.375,-0.548,4.77
83,0.259,2.0,0.001,-1.447,-0.293,4.98
84,2.077,2.0,0.001,-1.451,1.529,5.202
85,0.086,2.0,0.243,-1.416,-0.255,5.425
86,0.20600000000000002,2.0,0.616,-1.406,0.228,5.642
87,0.29600000000000004,1.8,0.615,-1.268,0.379,5.858
88,0.29600000000000004,1.8,0.615,-1.373,0.484,6.052
89,0.35700000000000004,1.8,0.614,-1.238,0.409,6.262
90,0.54,1.8,0.614,-1.185,0.539,6.452
91,0.53,1.8,0.614,-1.176,0.52,6.634
92,0.155,1.8,0.613,-1.184,0.152,6.814
93,0.048,1.4,0.614,-0.905,0.167,6.996
94,0.048,1.4,0.613,-0.639,-0.1,7.134
95,0.048,1.4,0.614,-0.61,-0.128,7.232
96,0.14800000000000002,1.4,0.613,-0.669,0.03,7.326
97,0.35100000000000003,1.4,0.613,-0.669,0.233,7.428
98,0.55,1.4,0.59,-0.579,0.319,7.531
99,0.525,1.0,0.001,0.029,-0.503,7.62
100,0.28600000000000003,1.0,0.001,0.099,-0.812,7.615
101,0.28800000000000003,1.0,0.0,-0.225,-0.487,7.6
102,0.21,1.0,0.001,-0.133,-0.656,7.635
103,0.39299999999999996,1.0,0.001,-0.111,-0.495,7.655
104,0.424,1.0,0.001,-0.182,-0.393,7.672
105,0.607,0.4,0.42,0.401,0.226,7.7
106,0.6859999999999999,0.4,0.616,0.353,0.549,7.639
107,0.893,0.4,0.615,0.486,0.622,7.584
108,0.33799999999999997,0.4,0.615,0.702,-0.149,7.51
109,0.373,0.4,0.614,0.529,0.058,7.402
110,0.17800000000000002,0.4,0.613,0.543,-0.152,7.321
111,0.278,0.1,0.613,0.833,-0.042,7.238
112,0.17800000000000002,0.1,0.614,0.841,-0.149,7.11
113,4.957,0.1,0.613,0.923,4.547,6.981
114,4.897,0.1,0.613,0.734,4.676,6.84
115,2.7439999999999998,0.1,0.613,0.674,2.583,6.727
116,0.048,0.1,0.612,0.73,-0.17,6.624
117,0.048,0.0,0.598,0.669,-0.023,6.512
118,0.048,0.0,0.315,0.634,-0.271,6.409
119,0.048,0.0,0.0,0.747,-0.699,6.312
120,0.048,0.0,0.001,0.9,-0.851,6.198
121,0.166,0.0,0.001,0.746,-0.579,6.06
122,0.528,0.0,0.001,0.816,-0.287,5.945
