,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.036000000000000004,0.006,0.159,-0.117,3.826
1,0.036000000000000004,0.006,-0.485,0.527,3.801
2,0.036000000000000004,0.006,-0.483,0.525,3.876
3,0.036000000000000004,0.0,-0.443,0.479,3.95
4,0.036000000000000004,0.006,-0.478,0.52,4.018
5,0.192,0.006,-0.432,0.63,4.091
6,0.192,0.006,-0.432,0.63,4.157
7,0.152,0.006,-0.496,0.654,4.223
8,0.152,0.006,-0.46,0.618,4.3
9,0.036000000000000004,0.006,-0.412,0.454,4.37
10,0.036000000000000004,0.006,-0.442,0.484,4.433
11,0.036000000000000004,0.006,-0.422,0.464,4.501
12,0.036000000000000004,0.006,-0.475,0.517,4.566
13,0.036000000000000004,0.006,-0.519,0.561,4.639
14,0.036000000000000004,0.006,-0.52,0.562,4.718
15,0.348,0.006,-0.425,0.779,4.798
16,0.348,0.0,-0.426,0.774,4.863
17,0.192,0.006,-0.417,0.615,4.929
18,0.126,0.006,-0.395,0.527,4.993
19,0.321,0.006,-0.461,0.788,5.053
20,0.311,0.006,-0.399,0.716,5.124
21,0.261,0.006,-0.375,0.642,5.185
22,0.24100000000000002,0.006,-0.422,0.669,5.242
23,0.23600000000000002,0.006,-0.429,0.671,5.307
24,0.192,0.006,-0.416,0.614,5.373
25,0.308,0.006,-0.357,0.671,5.437
26,0.152,0.006,-0.455,0.613,5.491
27,0.036000000000000004,0.006,-0.454,0.496,5.561
28,0.036000000000000004,0.006,-0.456,0.498,5.631
29,0.036000000000000004,0.006,-0.49,0.532,5.701
30,0.036000000000000004,0.0,-0.433,0.469,5.776
31,0.152,0.006,-0.46,0.618,5.842
32,0.152,0.006,-0.495,0.653,5.913
33,0.036000000000000004,0.006,-0.425,0.467,5.989
34,0.036000000000000004,0.006,-0.389,0.431,6.054
35,0.036000000000000004,0.006,-0.518,0.56,6.113
36,0.036000000000000004,0.006,-0.46,0.502,6.193
37,0.152,0.006,-0.44,0.598,6.263
38,0.036000000000000004,0.006,-0.451,0.493,6.331
39,0.192,0.006,-0.457,0.655,6.4
40,0.272,0.006,-0.472,0.75,6.47
41,0.11599999999999999,0.0,-0.438,0.554,6.542
42,0.637,0.006,-0.321,0.964,6.61
43,0.573,0.006,-0.335,0.914,6.659
44,2.449,0.006,0.63,1.825,6.71
45,2.359,0.006,0.121,2.244,6.614
46,2.475,0.0,0.125,2.35,6.595
47,0.573,0.006,-0.295,0.874,6.576
48,0.392,0.006,-0.345,0.743,6.621
49,0.43200000000000005,0.006,-0.337,0.775,6.674
50,0.47200000000000003,0.006,-0.401,0.879,6.726
51,0.654,0.0,-0.365,1.019,6.787
52,0.85,0.006,-0.263,1.119,6.843
53,1.1420000000000001,0.006,-0.209,1.357,6.883
54,0.73,0.006,-0.302,1.038,6.915
55,0.574,0.006,-0.369,0.949,6.962
56,0.574,0.006,-0.4,0.98,7.018
57,0.434,0.0,0.052,0.382,7.08
58,0.55,0.006,0.101,0.455,7.072
59,0.706,0.006,0.144,0.568,7.056
60,0.59,0.006,-0.264,0.86,7.034
61,0.59,0.006,-0.336,0.932,7.075
62,0.434,0.0,-0.34,0.774,7.126
63,2.648,0.006,0.076,2.578,7.178
64,0.374,0.006,-0.446,0.826,7.167
65,0.49,0.006,-0.405,0.901,7.235
66,0.49,0.006,-0.345,0.841,7.297
67,0.374,0.0,-0.372,0.746,7.35
68,0.53,0.006,0.164,0.372,7.407
69,0.53,0.006,0.165,0.371,7.382
70,0.036000000000000004,0.006,0.093,-0.051,7.356
71,0.036000000000000004,0.006,0.053,-0.011,7.342
72,0.036000000000000004,0.006,0.005,0.037,7.334
73,0.036000000000000004,0.0,0.006,0.03,7.333
74,0.192,0.006,0.101,0.097,7.332
75,0.192,0.006,0.136,0.062,7.317
76,0.192,0.006,-0.384,0.582,7.296
77,0.036000000000000004,0.006,-0.463,0.505,7.355
78,0.036000000000000004,0.0,-0.452,0.488,7.426
79,0.036000000000000004,0.006,-0.214,0.256,7.495
80,0.036000000000000004,0.006,0.252,-0.21,7.528
81,0.152,0.006,-0.347,0.505,7.489
82,0.152,0.006,-0.438,0.596,7.543
83,0.192,0.0,-0.426,0.618,7.61
84,0.192,0.006,0.018,0.18,7.675
85,0.036000000000000004,0.006,-0.18,0.222,7.672
86,0.036000000000000004,0.006,0.0,0.042,7.7
87,0.036000000000000004,0.006,0.0,0.042,7.7
88,0.152,0.0,0.0,0.152,7.7
89,0.152,0.006,0.027,0.131,7.7
90,0.192,0.006,0.042,0.156,7.696
91,0.192,0.006,0.009,0.189,7.689
92,0.036000000000000004,0.006,-0.059,0.101,7.688
93,0.27399999999999997,0.006,-0.019,0.299,7.697
94,0.27399999999999997,0.0,0.242,0.032,7.7
95,0.35200000000000004,0.006,-0.19,0.548,7.663
96,0.376,0.024,-0.052,0.452,7.692
97,0.532,3.708,1.334,2.906,7.7
98,0.5720000000000001,3.702,1.78,2.494,7.495
99,0.544,3.6959999999999997,1.406,2.834,7.223
100,0.387,3.69,1.265,2.812,7.007
101,0.299,3.69,1.281,2.708,6.813
102,0.435,3.684,1.264,2.855,6.617
103,0.713,3.69,1.414,2.989,6.423
104,0.823,1.932,1.076,1.679,6.206
105,1.423,0.006,1.335,0.094,6.041
106,1.145,0.006,1.541,-0.39,5.836
107,1.117,0.006,2.098,-0.975,5.6
108,1.345,0.0,2.133,-0.788,5.278
109,1.305,0.006,2.107,-0.796,4.951
110,1.067,0.006,1.669,-0.596,4.628
111,1.2429999999999999,0.006,1.332,-0.083,4.372
112,1.183,0.006,1.295,-0.106,4.168
113,0.667,0.006,1.618,-0.945,3.97
114,0.721,0.006,1.978,-1.251,3.721
115,0.531,0.006,1.962,-1.425,3.418
116,1.507,0.006,1.574,-0.061,3.117
117,0.305,0.006,1.333,-1.022,2.876
118,0.345,0.006,0.802,-0.451,2.671
119,0.677,0.006,-0.097,0.78,2.548
120,0.5770000000000001,0.0,-0.133,0.71,2.563
121,0.48700000000000004,0.006,-0.079,0.572,2.584
122,0.922,0.006,0.028,0.9,2.596
123,0.502,0.006,-0.076,0.584,2.592
124,0.426,0.006,-0.127,0.559,2.603
125,0.526,0.0,0.325,0.201,2.623
126,0.6,0.006,-0.128,0.734,2.573
127,0.7,0.006,-0.047,0.753,2.592
128,0.76,0.006,-0.142,0.908,2.6
129,0.522,0.006,-0.528,1.056,2.621
130,0.42,0.006,-0.505,0.931,2.702
131,0.32,0.0,-0.71,1.03,2.78
132,0.264,0.006,-0.618,0.888,2.889
133,0.276,0.006,-0.63,0.912,2.983
134,0.39799999999999996,0.006,-0.174,0.578,3.08
135,0.5539999999999999,0.006,-0.04,0.6,3.107
136,0.5539999999999999,0.0,-0.67,1.224,3.113
137,0.23800000000000002,0.006,-0.774,1.018,3.216
138,0.332,0.006,-0.765,1.103,3.334
139,0.392,0.006,-0.695,1.093,3.452
140,0.036000000000000004,0.006,-0.762,0.804,3.558
141,0.192,0.0,-0.291,0.483,3.675
142,0.192,0.006,-0.692,0.89,3.72
143,0.192,0.006,0.159,0.039,3.826
